id	side_effect
adenosine	QRS complex
adenosine	Coronary Artery Disease
adenosine	Heart Diseases
adenosine	Myocardial Ischemia
adenosine	Paroxysmal supraventricular tachycardia
adenosine	Nodal block
adenosine	Total Peripheral Resistance
albendazole	Communicable Diseases
albendazole	Cyst
albendazole	Echinococcosis
albendazole	Edema
albendazole	Neurocysticercosis
albendazole	Liver diseases
alfentanil	Miosis disorder
alfentanil	Muscle Rigidity
alfentanil	Pain
alfentanil	Kidney Failure
alfentanil	Vomiting
alfentanil	Respiratory Depression
alfentanil	Euphoric mood
alfentanil	Bradycardia
alfentanil	Postoperative Nausea
alfentanil	Hepatic impairment
alfentanil	Renal Insufficiency
alfuzosin	Benign Prostatic Hyperplasia
alfuzosin	Coronary Artery Disease
alfuzosin	Acute retention of urine
alfuzosin	Blood pressure systolic decreased
aliskiren	Diabetes Mellitus
aliskiren	Heart failure
aliskiren	Kidney Diseases
aliskiren	Essential Hypertension
aliskiren	Hypertensive (finding)
aliskiren	Hypertensive disease
aliskiren	Angina Pectoris
aliskiren	Diabetic Nephropathy
aliskiren	Hyperlipidemia
aliskiren	Hypotension
aliskiren	Myocardial Infarction
allopurinol	"Arthritis, Gouty"
allopurinol	Kidney Calculi
allopurinol	Tophus
allopurinol	Hyperuricosuria
allopurinol	Glycogen Storage Disease
allopurinol	Lesch-Nyhan Syndrome
allopurinol	Myeloproliferative disease
allopurinol	Urate nephropathy
allopurinol	Malignant Neoplasms
allopurinol	Gout
allopurinol	Hematological Disease
allopurinol	Inflammation
allopurinol	leukemia
allopurinol	Lymphoma
allopurinol	Myeloid Metaplasia
allopurinol	Polycythemia Vera
allopurinol	Secondary gout
allopurinol	Hyperuricemia
allopurinol	Gout acute
allopurinol	"Anemia, Hemolytic"
allopurinol	Uric acid level increased
allopurinol	Kidney Failure
allopurinol	Renal Insufficiency
allopurinol	Kidney Diseases
allopurinol	Joint destruction
allopurinol	Solid tumour
almotriptan	Cluster Headache
almotriptan	Nausea
almotriptan	Pain
almotriptan	Photophobia
almotriptan	Migraine Disorders
almotriptan	Aura
almotriptan	Phonophobia
alosetron	Abdominal Pain
alosetron	Diarrhea
alosetron	Fecal Incontinence
alosetron	Disability
alosetron	Sensory Discomfort
alosetron	Diarrhoea predominant irritable bowel syndrome
alosetron	Irritable Bowel Syndrome
alprazolam	Agoraphobia
alprazolam	Anxiety
alprazolam	Chest Pain
alprazolam	Choking
alprazolam	Depersonalization
alprazolam	Dizziness
alprazolam	Dyspnea
alprazolam	Flushing
alprazolam	Hyperthyroidism
alprazolam	Nausea
alprazolam	Palpitations
alprazolam	Panic Disorder
alprazolam	"Phobia, Social"
alprazolam	Sweating
alprazolam	Syncope
alprazolam	Tachycardia
alprazolam	Chills
alprazolam	Depressive Symptoms
alprazolam	Panic Attacks
alprazolam	Illness (finding)
alprazolam	Disability
alprazolam	Derealization
alprazolam	Sensory Discomfort
alprazolam	Trembling
alprazolam	Abdominal distress
alprazolam	Phobic anxiety disorder
alprazolam	Fear of death
alprazolam	Phobic avoidance
alprazolam	Hot flushes
alprazolam	Intoxication
alprazolam	Substance abuse problem
alprazolam	Aggressive behavior
alprazolam	Anxiety Disorders
alprazolam	Mental disorders
alprazolam	Borderline Personality Disorder
alprazolam	Diarrhea
alprazolam	Irritable Mood
alprazolam	Paresthesia
alprazolam	Post-Traumatic Stress Disorder
alprazolam	Increased frequency of micturition
alprazolam	Xerostomia
alprazolam	Agitation
alprazolam	Lightheadedness
alprazolam	Fatigability
alprazolam	Muscle twitch
alprazolam	Tension
alprazolam	Sore to touch
alprazolam	Ache
alprazolam	Violent
alprazolam	Generalized Anxiety Disorder
alprazolam	Hyperactive behavior
alprazolam	Shaky feelings
alprazolam	Mass of body structure
alprazolam	Exaggerated startle response
alprazolam	Numbness
alprazolam	Pounding heart
alprazolam	Choking sensation
alprazolam	Has tingling sensation
alprazolam	Reactive depression
alprazolam	Fatigue
alprazolam	Suicide
alprazolam	apprehension
alprazolam	Unable to concentrate
alprazolam	"Depression, Neurotic"
alprazolam	Anxiety depression
alprazolam	Depressed mood
alprazolam	Decreased interest
alprazolam	Anxiety state
alprazolam	Sleeplessness
alprazolam	Anxiety neurosis (finding)
amantadine	Carbon Monoxide Poisoning
amantadine	Diabetes Mellitus
amantadine	Influenza
amantadine	Parkinson Disease
amantadine	"Parkinson Disease, Postencephalitic"
amantadine	Secondary Parkinson Disease
amantadine	Parkinsonian Disorders
amantadine	Chronic respiratory disease
amantadine	Communicable Diseases
amantadine	Neuromuscular Diseases
amantadine	Pneumonia
amantadine	Cor pulmonale
amantadine	Respiratory Tract Infections
amantadine	Virus Diseases
amantadine	Immunocompromised Host
amantadine	Illness (finding)
amantadine	Influenza A virus infection
amantadine	Renal Insufficiency
amantadine	Disease Progression
amantadine	Intoxication
amantadine	Cerebral Arteriosclerosis
ambrisentan	Connective Tissue Diseases
ambrisentan	Hypertensive disease
ambrisentan	Idiopathic pulmonary hypertension
ambrisentan	Idiopathic pulmonary arterial hypertension
amifostine	Malignant Neoplasms
amifostine	Fever
amifostine	Neutropenia
amifostine	Xerostomia
amifostine	Nephrotoxicity
amifostine	Infection induced
amifostine	Malignant neoplasm of ovary
amifostine	Non-Small Cell Lung Carcinoma
amifostine	Nephropathy toxic
amifostine	Communicable Diseases
amikacin	Communicable Diseases
amikacin	Meningitis
amikacin	Peritonitis
amikacin	Staphylococcal Infections
amikacin	Recurrent urinary tract infection
amikacin	Sepsis neonatal
amikacin	Bacterial sepsis
amikacin	Intraabdominal Infections
amikacin	Renal Insufficiency
amiloride	Cardiac Arrhythmia
amiloride	Ascites
amiloride	Diuresis
amiloride	Edema
amiloride	Hypertensive disease
amiloride	Hypokalemia
amiloride	Liver Cirrhosis
amiloride	Liver diseases
amiloride	Complete atrioventricular block
amiloride	Metabolic alkalosis
amiloride	Heart Block
amiloride	Irritable Mood
amiloride	Body Weight decreased
amiloride	Digitalis intoxication (NOS)
amiloride	Electrolyte imbalance
amiloride	Sodium high
amiloride	Potassium low
amiloride	Congestive heart failure
amiloride	Essential Hypertension
aminophylline	Asthma
aminophylline	Bronchial Spasm
aminophylline	"Bronchitis, Chronic"
aminophylline	Diuresis
aminophylline	Dyspnea
aminophylline	Congestive heart failure
aminophylline	Left-Sided Heart Failure
aminophylline	Liver diseases
aminophylline	Chronic Obstructive Airway Disease
aminophylline	Pulmonary Emphysema
aminophylline	Cor pulmonale
aminophylline	Cerebral vasoconstriction
aminophylline	Total Peripheral Resistance
aminophylline	Lung diseases
aminophylline	Asthma chronic
aminophylline	nervous system disorder
amiodarone	Asthma
amiodarone	Pulmonary Fibrosis
amiodarone	Ventricular Fibrillation
amiodarone	"Tachycardia, Ventricular"
amiodarone	Wolff-Parkinson-White Syndrome
amiodarone	Tachyarrhythmia
amiodarone	Atrial fibrillation and flutter
amiodarone	Hyperactive behavior
amiodarone	Sinus Node Dysfunction (disorder)
amiodarone	Respiratory Failure
amiodarone	Cardiac Arrhythmia
amiodarone	Sudden death
amiodarone	Ventricular arrhythmia
amiodarone	Drug Interactions
amiodarone	Recurrent ventricular fibrillation
amisulpride	Delusions
amisulpride	Hallucinations
amisulpride	Chronic schizophrenia
amisulpride	Blunted affect
amisulpride	Social withdrawal
amisulpride	Schizophrenia
amitriptyline	Enuresis
amitriptyline	Bedwetting
amitriptyline	Major Depressive Disorder
amitriptyline	Endogenous depression
amitriptyline	Depressive Symptoms
amlodipine	Angina Pectoris
amlodipine	Hypertensive disease
amlodipine	Chronic Obstructive Airway Disease
amlodipine	Stable angina
amlodipine	"Angina Pectoris, Variant"
amlodipine	Coronary Artery Vasospasm
amlodipine	Heart failure
amlodipine	Pulmonary Edema
amlodipine	Vasospasm
amlodipine	Myocardial Ischemia
amlodipine	Total Peripheral Resistance
amlodipine	Anginal attack
amlodipine	ST segment depression (finding)
amlodipine	Acute hypotension
amlodipine	Diabetes Mellitus
amlodipine	Congestive heart failure
amlodipine	Peripheral Vascular Diseases
amlodipine	Coronary Artery Disease
amlodipine	Diabetic Nephropathy
amlodipine	Hyperlipidemia
amlodipine	Hypotension
amlodipine	Myocardial Infarction
amoxapine	Anxiety
amoxapine	Mental Depression
amoxapine	Depressive disorder
amoxapine	Psychotic Disorders
amoxapine	Agitation
amoxapine	Depressive Symptoms
amoxicillin	Communicable Diseases
amoxicillin	Endocarditis
amoxicillin	Bacterial Endocarditis
amoxicillin	Gonorrhea
amoxicillin	Renal Insufficiency
amoxicillin	Asthma
amoxicillin	Hypertrophic Cardiomyopathy
amoxicillin	Hay fever
amoxicillin	Hypersensitivity
amoxicillin	Mitral Valve Prolapse Syndrome
amoxicillin	Urticaria
amoxicillin	Regurgitation
amoxicillin	Duodenal Ulcer
amoxicillin	Infectious Mononucleosis
amoxicillin	Pharyngitis
amoxicillin	Tonsillitis
amoxicillin	Escherichia coli Infections
amoxicillin	Bacteremia
amoxicillin	Inflammation
amoxicillin	Function kidney decreased
amphetamine	Mental disorders
amphetamine	Narcolepsy
amphetamine	Psychotic Disorders
amphetamine	Hyperactive behavior
amphetamine	Forgetfulness
amphetamine	Attention deficit hyperactivity disorder
amphetamine	Loss of appetite (finding)
amphetamine	Attention Deficit Disorder
amphetamine	Mood swings
amphetamine	Electroencephalogram abnormal
amphetamine	Distractibility
amphetamine	Learning Disabilities
ampicillin	Communicable Diseases
ampicillin	Asthma
ampicillin	Dysentery
ampicillin	Endocarditis
ampicillin	Hay fever
ampicillin	Hypersensitivity
ampicillin	Respiratory Tract Infections
ampicillin	"Septicaemia due to gram-negative organism, unspecified"
ampicillin	Septicemia
ampicillin	Typhoid Fever
ampicillin	Urinary tract infection
ampicillin	Urticaria
ampicillin	"Meningitis, Bacterial"
ampicillin	Group B streptococcal pneumonia
ampicillin	Gastrointestinal infection
ampicillin	Gonorrhea
ampicillin	Meningitis
ampicillin	Streptococcal endocarditis
amprenavir	Disease Progression
amprenavir	Exanthema
amprenavir	Communicable Diseases
amprenavir	Immunologic Deficiency Syndromes
anagrelide	"Thrombocythemia, Essential"
anagrelide	Myeloproliferative disease
anagrelide	Thrombocytosis
anagrelide	Thrombosis
anastrozole	Myocardial Ischemia
anastrozole	Disease Progression
anastrozole	Advanced breast cancer
anastrozole	Malignant neoplasm of breast
anastrozole	Erythema Multiforme
anastrozole	Menopause
anastrozole	Angioedema
anastrozole	Carcinoma breast stage IV
apomorphine	Parkinson Disease
aprepitant	Vomiting
aprepitant	Postoperative Nausea
aprepitant	Nausea
aprepitant	Malignant Neoplasms
argatroban	Heparin-induced thrombocytopenia
argatroban	Thrombosis
argatroban	Acute myocardial infarction
aripiprazole	Bipolar Disorder
aripiprazole	Schizophrenia
aripiprazole	Manic episode
aripiprazole	Bipolar I disorder
aripiprazole	Demented
aripiprazole	Alzheimers Disease
aripiprazole	Alzheimers Disease
aripiprazole	Manic
aripiprazole	Psychotic Disorders
aripiprazole	Agitation
aripiprazole	Tension
aripiprazole	Behavior showing increased motor activity
aripiprazole	Dementia
aripiprazole	Major Depressive Disorder
aripiprazole	Dyskinetic syndrome
aripiprazole	Autistic Disorder
aripiprazole	Mental disorders
aripiprazole	Irritable Mood
aripiprazole	"Schizophrenia, Childhood"
aripiprazole	Aggressive behavior
aripiprazole	Icterus
aripiprazole	Illness (finding)
aripiprazole	Temper tantrum
atazanavir	Hepatitis B
atenolol	Angina Pectoris
atenolol	Cardiac Arrhythmia
atenolol	Heart failure
atenolol	Hypertensive disease
atenolol	Myocardial Infarction
atenolol	Chest Pain
atenolol	Ventricular arrhythmia
atenolol	Acute myocardial infarction
atenolol	Asthma
atenolol	Myocardial Ischemia
atenolol	Systolic hypertension
atenolol	Liver diseases
atenolol	Tachycardia
atenolol	Renal Insufficiency
atenolol	Coronary Arteriosclerosis
atenolol	Hypertensive (finding)
atenolol	Diabetes Mellitus
atenolol	Diabetic Nephropathy
atenolol	Hyperlipidemia
atenolol	Hypotension
atenolol	Bradycardia
atomoxetine	Mental disorders
atomoxetine	Epilepsy
atomoxetine	Psychotic Disorders
atomoxetine	Attention Deficit Disorder
atomoxetine	Hyperactive behavior
atomoxetine	Forgetfulness
atomoxetine	Attention deficit hyperactivity disorder
atomoxetine	Comatose
atomoxetine	Delirium
atomoxetine	Fever
atomoxetine	Angle Closure Glaucoma
atomoxetine	Hypersensitivity
atomoxetine	Muscle Rigidity
atomoxetine	Mydriasis
atomoxetine	Myoclonus
atomoxetine	Neuroleptic Malignant Syndrome
atomoxetine	Agitation
atomoxetine	Mental status changes
atomoxetine	Hepatic Insufficiency
atorvastatin	"Alcoholic Intoxication, Chronic"
atorvastatin	Diabetes Mellitus
atorvastatin	Hypercholesterolemia
atorvastatin	Hypothyroidism
atorvastatin	Liver diseases
atorvastatin	Nephrotic Syndrome
atorvastatin	Coronary heart disease
atorvastatin	Cardiovascular Diseases
atorvastatin	"Diabetes Mellitus, Non-Insulin-Dependent"
atorvastatin	"Hypercholesterolemia, Familial"
atorvastatin	Hyperlipidemia
atorvastatin	Hyperlipoproteinemia Type III
atorvastatin	Hypertensive disease
atorvastatin	Hypertriglyceridemia
atorvastatin	Insulin Resistance
atorvastatin	Myocardial Infarction
atorvastatin	Cerebrovascular accident
atorvastatin	Body Weight decreased
atorvastatin	High density lipoprotein decreased
atorvastatin	Dyslipidemias
atorvastatin	Impaired glucose tolerance
atorvastatin	"Obesity, Abdominal"
atorvastatin	Homozygous familial hypercholesterolaemia
atorvastatin	Heterozygous familial hypercholesterolemia
atorvastatin	Behavior showing increased motor activity
atorvastatin	Increase in blood pressure
atorvastatin	Metabolic Syndrome X
atorvastatin	Lipids abnormal
atorvastatin	High density lipoprotein increased
atorvastatin	Hypertensive (finding)
atorvastatin	Combined hyperlipidaemia
atorvastatin	Angina Pectoris
atorvastatin	Atherosclerosis
atorvastatin	Carotid Artery Diseases
atorvastatin	Premature Menopause
atorvastatin	Peripheral Vascular Diseases
atorvastatin	Coronary Artery Disease
atorvastatin	Albuminuria
atorvastatin	Retinal Diseases
atovaquone	Acquired Immunodeficiency Syndrome
atovaquone	Bacterial Infections
atovaquone	Lymphoma
atovaquone	Pneumothorax
atovaquone	Vomiting
atovaquone	"Aneurysm, Mycotic"
atovaquone	Sepsis
atovaquone	Death (finding)
atovaquone	Pneumocystis jiroveci pneumonia
atropine	Mydriasis
atropine	Cycloplegia
atropine	Bacterial conjunctivitis
atropine	Eye Infections
atropine	Cardiac Arrhythmia
atropine	Hypotension
atropine	Irritable Mood
atropine	secretion of saliva
atropine	Sinus bradycardia
atropine	Acute myocardial infarction
atropine	Bradycardia
atropine	Muscarinic Effect
atropine	Dyspnea
atropine	Muscular fasciculation
atropine	Flushing
atropine	Tachycardia
atropine	Wheezing
atropine	Lacrimation
atropine	Intoxication
atropine	Angle Closure Glaucoma
atropine	Paralysed
atropine	Abdominal Cramps
atropine	Common Cold
atropine	Cystitis
atropine	Diverticulitis
atropine	Dysentery
atropine	Intestinal Diseases
atropine	Irritable Bowel Syndrome
atropine	Peptic Ulcer
atropine	Spasm
atropine	Pylorospasm
atropine	Renal Colic
atropine	Functional Gastrointestinal Disorders
atropine	Acute enterocolitis
atropine	Neurogenic Urinary Bladder
atropine	Hyperhidrosis disorder
atropine	Muscle Rigidity
atropine	Sialorrhea
atropine	Tremor
atropine	Splenic flexure syndrome
atropine	Parkinsonian Disorders
atropine	Neurogenic Bowel
atropine	Automatic bladder
atropine	Enterocolitis
atropine	Heart Block
atropine	Pain
atropine	Pancreatitis
atropine	Infantile Colic
atropine	Bronchial Spasm
atropine	Diarrhea
atropine	Hay fever
atropine	Nausea
atropine	Pulmonary Edema
atropine	Urologic Diseases
atropine	Vomiting
atropine	Brain lesion
atropine	Abdominal colic
atropine	Hypertonicity
atropine	Increased sweating
atropine	Rhinorrhea
atropine	Biliary Colic
atropine	Atrioventricular Block
atropine	"Glaucoma, Open-Angle"
auranofin	"Arthritis, Psoriatic"
auranofin	Rheumatoid Arthritis
auranofin	Synovitis
azathioprine	Autoimmune hemolytic anemia
azathioprine	Rheumatoid Arthritis
azathioprine	Dermatomyositis
azathioprine	Hepatic Veno-Occlusive Disease
azathioprine	"Lupus Erythematosus, Systemic"
azathioprine	Pemphigus Vulgaris
azathioprine	Polyarteritis Nodosa
azathioprine	"Purpura, Thrombocytopenic, Idiopathic"
azathioprine	Polymyositis
azathioprine	Chronic active hepatitis
azathioprine	Rheumatism
azathioprine	Ulcerative Colitis
azathioprine	Crohn Disease
azathioprine	Inflammatory Bowel Diseases
azelastine	Allergic Conjunctivitis
azelastine	Pruritus
azelastine	Hay fever
azelastine	Nasal congestion (finding)
azelastine	Posterior rhinorrhea
azelastine	"Rhinitis, Vasomotor"
azelastine	Sneezing
azelastine	Rhinorrhea
azelastine	"Rhinitis, Allergic, Perennial"
azelastine	Allergic rhinitis (disorder)
azithromycin	Community acquired pneumonia
azithromycin	Abscess
azithromycin	Uterine Cervicitis
azithromycin	Communicable Diseases
azithromycin	Conjunctivitis
azithromycin	Gonorrhea
azithromycin	Rheumatic Fever
azithromycin	Pharyngitis streptococcal
azithromycin	Sexually Transmitted Diseases
azithromycin	Syphilis
azithromycin	Trachoma
azithromycin	Upper Respiratory Infections
azithromycin	Urethritis
azithromycin	Acute sinusitis
azithromycin	Lower respiratory tract infection
azithromycin	Bronchitis bacterial
azithromycin	Chancroids
azithromycin	Chronic Obstructive Airway Disease
azithromycin	Pharyngitis
azithromycin	Pneumonia
azithromycin	Tonsillitis
azithromycin	Genital ulceration
azithromycin	Pelvic Inflammatory Disease
azithromycin	Otitis media acute
azithromycin	"Lung Diseases, Obstructive"
azithromycin	Bronchitis
azithromycin	Fasting
azithromycin	Respiratory Tract Infections
azithromycin	Liver Dysfunction
azithromycin	Drug Interactions
azithromycin	Hepatic impairment
azithromycin	Hepatic Insufficiency
azithromycin	Renal Insufficiency
azithromycin	Mycobacterium avium-intracellulare Infection
azithromycin	Mycobacterium Infections
azithromycin	non-gonococcal urethritis (NGU)
azithromycin	Bacteremia
azithromycin	Cystic Fibrosis
azithromycin	Immunologic Deficiency Syndromes
azithromycin	Congenital absence of spleen
azithromycin	Sinusitis bacterial
azithromycin	Bacterial conjunctivitis
azithromycin	Acute pharyngitis
azithromycin	Lyme Disease
azithromycin	Pertussis
azithromycin	Acne
azithromycin	Blood culture negative
azithromycin	Cross resistance
azithromycin	Chlamydial pneumonia
azithromycin	"Bronchitis, Chronic"
azithromycin	Mycoplasma pneumonia
azithromycin	"Infections, Hospital"
azithromycin	Illness (finding)
aztreonam	Communicable Diseases
aztreonam	Gonorrhea
aztreonam	Meningitis
aztreonam	Pseudomonas Infections
aztreonam	Urinary tract infection
aztreonam	Ototoxicity
aztreonam	Nephrotoxicity
aztreonam	Abscess
aztreonam	Bronchitis
aztreonam	Cystitis
aztreonam	Endometritis
aztreonam	Parametritis
aztreonam	Peritonitis
aztreonam	Pneumonia
aztreonam	Pyelonephritis
aztreonam	Septicemia
aztreonam	Ulcer
aztreonam	Injury wounds
aztreonam	Lower respiratory tract infection
aztreonam	Intraabdominal Infections
aztreonam	Gynecological infection
aztreonam	Bacteremia
aztreonam	Pelvic Inflammatory Disease
aztreonam	Asymptomatic bacteriuria
aztreonam	Bone and joint infections
aztreonam	Cystic Fibrosis
baclofen	Brain Diseases
baclofen	Cerebrovascular Disorders
baclofen	Epilepsy
baclofen	Multiple Sclerosis
baclofen	Muscle Hypertonia
baclofen	Spasm
baclofen	Bladder dysfunction
baclofen	Muscle Spasticity
baclofen	Spinal Cord Diseases
baclofen	Spinal Cord Injuries
baclofen	Clonus
baclofen	Muscle Rigidity
baclofen	Pain
baclofen	Cerebral Palsy
baclofen	Craniocerebral Trauma
baclofen	Brain Injuries
baclofen	Traumatic Brain Injury
baclofen	Respiratory Depression
balsalazide	Ulcerative Colitis
benazepril	Hypertensive disease
benazepril	Essential Hypertension
benazepril	Hypertensive (finding)
benazepril	Angioedema
benazepril	Kidney Diseases
benazepril	Renal Artery Stenosis
benazepril	Renal Insufficiency
benzonatate	Coughing
benzonatate	Intoxication
bepridil	Angina Pectoris
bepridil	Stable angina
betahistine	Meniere Disease
betahistine	Nausea
betahistine	Tinnitus
betahistine	Vertigo
betahistine	Vomiting
betahistine	hearing impairment
betaxolol	Asthma
betaxolol	Glaucoma
betaxolol	Chronic Obstructive Airway Disease
betaxolol	Ocular Hypertension
betaxolol	"Glaucoma, Primary Open Angle"
betaxolol	Chronic open angle glaucoma
betaxolol	Hypertensive disease
bethanechol	Urinary Retention
bexarotene	Malignant Neoplasms
bexarotene	"Lymphoma, T-Cell, Cutaneous"
bezafibrate	Coronary Arteriosclerosis
bezafibrate	Hypercholesterolemia
bezafibrate	Hyperlipidemia
bezafibrate	Hyperlipoproteinemia Type IV
bezafibrate	Pancreatitis
bezafibrate	Kidney Failure
bezafibrate	Dyslipidemias
bezafibrate	Atheroma
bezafibrate	Postinfarction
bezafibrate	Coronary Artery Disease
bezafibrate	Combined hyperlipidaemia
bicalutamide	Malignant neoplasm of prostate
bicalutamide	Adenocarcinoma of the prostate metastatic
bimatoprost	Ocular Hypertension
bimatoprost	"Glaucoma, Primary Open Angle"
bimatoprost	Chronic open angle glaucoma
bimatoprost	"Glaucoma, Open-Angle"
bimatoprost	Glaucoma
bimatoprost	Hypotrichosis
bisoprolol	Asthma
bisoprolol	Heart failure
bisoprolol	Hypertensive disease
bisoprolol	Hypertensive (finding)
bleomycin	Malignant Neoplasms
bleomycin	Lymphoma
bleomycin	Pleural effusion disorder
bleomycin	Dysplasia
bleomycin	Squamous cell carcinoma
bleomycin	Choriocarcinoma
bleomycin	Hodgkin Disease
bleomycin	"Lymphoma, Non-Hodgkin"
bleomycin	Neoplasms
bleomycin	"Pleural Effusion, Malignant"
bleomycin	Carcinoma testes
bleomycin	Pulmonary toxicity
bleomycin	Function kidney decreased
bortezomib	Multiple Myeloma
bortezomib	Diarrhea
bortezomib	Disease Progression
bortezomib	Hematologic Neoplasms
bortezomib	"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
bortezomib	Peripheral Neuropathy
bortezomib	Cerebrovascular accident
bortezomib	Sepsis
bosentan	Scleroderma
bosentan	Hypertensive disease
bosentan	Lung diseases
bosentan	Systemic Scleroderma
bosentan	Ulcer
bosentan	Digital ulcer
bosentan	Immunologic Deficiency Syndromes
bosentan	Pulmonary Veno-Occlusive Disease (disorder)
bosentan	Congenital heart disease
bosentan	Idiopathic pulmonary hypertension
bosentan	Cardiac failure chronic
bosentan	Pulmonary hypertension secondary
bosentan	Connective Tissue Diseases
bosentan	Hepatotoxicity
brimonidine	Rosacea
brimonidine	Erythema facial
brimonidine	Glaucoma
brimonidine	Ocular Hypertension
brimonidine	"Glaucoma, Primary Open Angle"
brimonidine	Chronic open angle glaucoma
brimonidine	"Glaucoma, Open-Angle"
brimonidine	Hydrophthalmos
brimonidine	Erythema
brinzolamide	"Glaucoma, Open-Angle"
brinzolamide	Ocular Hypertension
brinzolamide	Ocular Hypotension
bromocriptine	Acromegaly
bromocriptine	Hyperprolactinemia
bromocriptine	Neoplasms
bromocriptine	Parkinson Disease
bromocriptine	Parkinsonian Disorders
bromocriptine	Primary hypothyroidism
bromocriptine	Adenoma
bromocriptine	Amenorrhea
bromocriptine	Edema
bromocriptine	Breast Fibrocystic Disease
bromocriptine	Hypogonadism
bromocriptine	Female infertility
bromocriptine	Mastodynia
bromocriptine	Oligomenorrhea
bromocriptine	Oligospermia
bromocriptine	Premenstrual syndrome
bromocriptine	Prolactinoma
bromocriptine	Galactorrhea not associated with childbirth
bromocriptine	Erectile dysfunction
bromocriptine	Breast tenderness
bromocriptine	Impaired glucose tolerance
bromocriptine	Luteal phase deficiency
bromocriptine	Stillbirth
bromocriptine	Ovarian failure
bromocriptine	Abdominal bloating
bromocriptine	Disturbance in mood
bromocriptine	Lack of libido
bromocriptine	Confusion
bromocriptine	Dyskinetic syndrome
bromocriptine	Endocrine System Diseases
bromocriptine	Hallucinations
bromocriptine	Hypotension
bromocriptine	Infertility
bromocriptine	Nausea
bromocriptine	Abnormal involuntary movements
bromocriptine	Angina Pectoris
