"","x"
"268","latanoprost+timolol"
"269","brinzolamide+timolol"
"270","diclofenac+misoprostol"
"271","amitriptyline+perphenazine"
"272","aminophylline+theophylline"
"273","amoxicillin+clarithromycin"
"274","amoxicillin+lansoprazole"
"275","indapamide+perindopril"
"276","gefitinib+irinotecan"
"277","fexofenadine+probenecid"
"278","erlotinib+pemetrexed"
"279","gabapentin+morphine"
"280","pioglitazone+vildagliptin"
"281","amlodipine+perindopril"
"282","dipyridamole+prednisolone"
"283","loratadine+montelukast"
"284","cyclophosphamide+vincristine"
"285","delavirdine+nevirapine"
"286","delavirdine+zidovudine"
"287","bupropion+naltrexone"
"288","bimatoprost+timolol"
"289","gabapentin+tiagabine"
"290","lamotrigine+topiramate"
"291","carbamazepine+topiramate"
"292","diphenhydramine+theophylline"
"293","oxcarbazepine+topiramate"
"294","levetiracetam+topiramate"
"295","carbamazepine+lamotrigine"
"296","didanosine+nevirapine"
"297","didanosine+zidovudine"
"298","dasatinib+docetaxel"
"299","dasatinib+prednisone"
"300","bisoprolol+telmisartan"
"301","brinzolamide+latanoprost"
"302","bupivacaine+epinephrine"
"303","bupivacaine+fentanyl"
"304","benazepril+hydrochlorothiazide"
"305","amlodipine+atorvastatin"
"306","fosinopril+hydrochlorothiazide"
"307","amlodipine+benazepril"
"308","amlodipine+olmesartan"
"309","amiloride+hydrochlorothiazide"
"310","cisplatin+irinotecan"
"311","albendazole+prednisolone"
"312","paclitaxel+toremifene"
"313","hydrochlorothiazide+lisinopril"
"314","hydrochlorothiazide+losartan"
"315","hydrochlorothiazide+methyldopa"
"316","hydrochlorothiazide+metoprolol"
"317","amlodipine+valsartan"
"318","hydralazine+isosorbide"
"319","hydrochlorothiazide+irbesartan"
"320","hydrochlorothiazide+propranolol"
"321","hydrochlorothiazide+quinapril"
"322","amantadine+oseltamivir"
"323","ribavirin+oseltamivir"
"324","amantadine+ribavirin"
"325","ciprofloxacin+trimethoprim"
"326","isoniazid+linezolid"
"327","ampicillin+gentamicin"
"328","epinephrine+ketorolac"
"329","epinephrine+morphine"
"330","ropivacaine+morphine"
"331","epinephrine+ropivacaine"
"332","nateglinide+valsartan"
"333","cyclophosphamide+lapatinib"
"334","idarubicin+methotrexate"
"335","rosiglitazone+saxagliptin"
"336","cisplatin+doxorubicin"
"337","albendazole+ivermectin"
"338","bortezomib+prednisone"
"339","dacarbazine+temozolomide"
"340","capecitabine+paclitaxel"
"341","fluoxetine+quetiapine"
"342","fluoxetine+venlafaxine"
"343","etoposide+ifosfamide"
"344","cisplatin+docetaxel"
"345","clobazam+clonazepam"
"346","tolterodine+clonazepam"
"347","atorvastatin+ezetimibe"
"348","glimepiride+sitagliptin"
"349","aprepitant+dexamethasone"
"350","aprepitant+ondansetron"
"351","glipizide+metformin"
"352","glipizide+pioglitazone"
"353","glipizide+sitagliptin"
"354","amiloride+chlorthalidone"
"355","hydroxychloroquine+methotrexate"
"356","hydroxychloroquine+sulfasalazine"
"357","carbamazepine+gabapentin"
"358","cimetidine+fexofenadine"
"359","diclofenac+tetracycline"
"360","naproxen+tetracycline"
"361","fenofibrate+simvastatin"
"362","levetiracetam+oxcarbazepine"
"363","lapatinib+topotecan"
"364","iloprost+sildenafil"
"365","gabapentin+oxcarbazepine"
"366","diphenhydramine+ibuprofen"
"367","amoxicillin+omeprazole"
"368","methotrexate+rabeprazole"
"369","lamotrigine+oxcarbazepine"
"370","gemfibrozil+rosuvastatin"
"371","colchicine+probenecid"
"372","bortezomib+lenalidomide"
"373","cisplatin+temozolomide"
"374","methotrexate+pantoprazole"
"375","lapatinib+letrozole"
"376","captopril+hydrochlorothiazide"
"377","candesartan+hydrochlorothiazide"
"378","naproxen+sumatriptan"
"379","codeine+carisoprodol"
"380","hydrochlorothiazide+telmisartan"
"381","hydrochlorothiazide+spironolactone"
"382","hydrochlorothiazide+triamterene"
"383","trandolapril+verapamil"
"384","eprosartan+hydrochlorothiazide"
"385","hydrocodone+ibuprofen"
"386","clozapine+fluoxetine"
"387","didanosine+indinavir"
"388","amitriptyline+chlordiazepoxide"
"389","naloxone+pentazocine"
"390","ciprofloxacin+dexamethasone"
"391","bisoprolol+hydrochlorothiazide"
"392","amlodipine+streptomycin"
"393","bortezomib+thalidomide"
"394","acetaminophen+codeine"
"395","lansoprazole+naproxen"
"396","metformin+repaglinide"
"397","doxorubicin+metformin"
"398","caffeine+indomethacin"
"399","caffeine+prochlorperazine"
"400","acetaminophen+pentazocine"
"401","acetaminophen+oxycodone"
"402","diclofenac+quinidine"
"403","quinidine+warfarin"
"404","acyclovir+naproxen"
"405","acyclovir+ketoprofen"
"406","ciprofloxacin+probenecid"
"407","imatinib+temozolomide"
"408","famotidine+probenecid"
"409","methotrexate+omeprazole"
"410","bortezomib+cisplatin"
"411","capecitabine+imatinib"
"412","bortezomib+gemcitabine"
"413","fluoxetine+olanzapine"
"414","estradiol+levonorgestrel"
"415","epinephrine+lidocaine"
"416","felodipine+irbesartan"
"417","clomipramine+fluoxetine"
"418","docetaxel+gefitinib"
"419","bortezomib+cyclophosphamide"
"420","hydroxychloroquine+leflunomide"
"421","sildenafil+tadalafil"
"422","brimonidine+latanoprost"
"423","aprepitant+palonosetron"
"424","bortezomib+doxorubicin"
"425","capecitabine+lapatinib"
"426","capecitabine+gemcitabine"
"427","capecitabine+sorafenib"
"428","acetaminophen+ibuprofen"
"429","atorvastatin+lisinopril"
"430","atorvastatin+losartan"
"431","capecitabine+ixabepilone"
"432","everolimus+letrozole"
"433","budesonide+lansoprazole"
"434","amantadine+metformin"
"435","amantadine+olanzapine"
"436","amantadine+zonisamide"
"437","gemcitabine+irinotecan"
"438","anastrozole+gefitinib"
"439","ivermectin+mebendazole"
"440","felodipine+metoprolol"
"441","lidocaine+nitroglycerin"
"442","azithromycin+pyrimethamine"
"443","mitoxantrone+prednisone"
"444","diphenhydramine+temsirolimus"
"445","naltrexone+sertraline"
"446","cyclophosphamide+gemcitabine"
"447","docetaxel+paclitaxel"
"448","docetaxel+erlotinib"
"449","epinephrine+methylprednisolone"
"450","epinephrine+vasopressin"
"451","dexamethasone+granisetron"
"452","dexamethasone+prochlorperazine"
"453","azathioprine+methylprednisolone"
"454","atorvastatin+clopidogrel"
"455","cisplatin+ifosfamide"
"456","cisplatin+vincristine"
"457","dobutamine+norepinephrine"
"458","bicalutamide+goserelin"
"459","ezetimibe+fluvastatin"
"460","erlotinib+gemcitabine"
"461","bleomycin+procarbazine"
"462","formoterol+salmeterol"
"463","amoxicillin+moxifloxacin"
"464","gefitinib+simvastatin"
"465","metoclopramide+phenylephrine"
"466","furosemide+spironolactone"
"467","citalopram+fluoxetine"
"468","clopidogrel+everolimus"
"469","desipramine+naltrexone"
"470","desipramine+paroxetine"
"471","pravastatin+simvastatin"
"472","atorvastatin+fenofibrate"
"473","captopril+irbesartan"
"474","azathioprine+prednisolone"
"475","hydromorphone+oxycodone"
"476","etodolac+propranolol"
"477","cisplatin+erlotinib"
"478","formoterol+tiotropium"
"479","pravastatin+valsartan"
"480","isoniazid+trimethoprim"
"481","bortezomib+idarubicin"
"482","anastrozole+goserelin"
"483","clopidogrel+telmisartan"
"484","budesonide+terbutaline"
"485","bupivacaine+hydromorphone"
"486","atorvastatin+simvastatin"
"487","carbamazepine+nevirapine"
"488","doxycycline+levonorgestrel"
"489","colchicine+ketoconazole"
"490","bicalutamide+dutasteride"
"491","ketoconazole+goserelin"
"492","bicalutamide+ketoconazole"
"493","colchicine+ritonavir"
"494","tacrolimus+pimecrolimus"
"495","candesartan+nifedipine"
"496","bupivacaine+clonidine"
"497","bupivacaine+lidocaine"
"498","aripiprazole+olanzapine"
"499","aripiprazole+quetiapine"
"500","aripiprazole+ziprasidone"
"501","amoxicillin+metronidazole"
"502","adenosine+nicorandil"
"503","fluconazole+nevirapine"
"504","aprepitant+fexofenadine"
"505","aprepitant+prednisone"
"506","metformin+spironolactone"
"507","methotrexate+prednisone"
"508","donepezil+duloxetine"
"509","donepezil+venlafaxine"
"510","methotrexate+simvastatin"
"511","cyclophosphamide+methotrexate"
"512","duloxetine+gabapentin"
"513","mifepristone+misoprostol"
"514","efavirenz+nevirapine"
"515","cyclophosphamide+prednisolone"
"516","doxorubicin+sorafenib"
"517","amisulpride+moclobemide"
"518","dobutamine+epinephrine"
"519","clarithromycin+fluticasone"
"520","bupropion+citalopram"
"521","bupropion+sertraline"
"522","amiloride+amlodipine"
"523","amiloride+simvastatin"
"524","amiloride+telmisartan"
"525","posaconazole+tolterodine"
"526","amlodipine+losartan"
"527","olanzapine+sertraline"
"528","capecitabine+dexamethasone"
"529","azathioprine+cyclophosphamide"
"530","azathioprine+prednisone"
"531","montelukast+prednisolone"
"532","cisplatin+dexamethasone"
"533","diclofenac+omeprazole"
"534","clopidogrel+paclitaxel"
"535","everolimus+exemestane"
"536","irbesartan+ramipril"
"537","atorvastatin+rosuvastatin"
"538","cinacalcet+paricalcitol"
"539","clofarabine+cyclophosphamide"
"540","clofarabine+etoposide"
"541","naloxone+oxycodone"
"542","bortezomib+methotrexate"
"543","bortezomib+tacrolimus"
"544","losartan+nebivolol"
"545","cisplatin+gefitinib"
"546","exemestane+tamoxifen"
"547","lamotrigine+paroxetine"
"548","atropine+meperidine"
"549","azelastine+fluticasone"
"550","betaxolol+chlorthalidone"
"551","betaxolol+pilocarpine"
"552","chloramphenicol+prednisolone"
"553","chlorthalidone+clonidine"
"554","chlorthalidone+metoprolol"
"555","docetaxel+vinorelbine"
"556","amoxicillin+cefotaxime"
"557","amoxicillin+ceftriaxone"
"558","cyclophosphamide+pemetrexed"
"559","amlodipine+irbesartan"
"560","pyrimethamine+chloroquine"
"561","docetaxel+gemcitabine"
"562","dutasteride+tamsulosin"
"563","brimonidine+brinzolamide"
"564","dexamethasone+lidocaine"
"565","famotidine+ibuprofen"
"566","simvastatin+sitagliptin"
"567","dihydroergotamine+lidocaine"
"568","diphenhydramine+naproxen"
"569","droperidol+fentanyl"
"570","estradiol+testosterone"
"571","hydrochlorothiazide+labetalol"
"572","hydrochlorothiazide+pindolol"
"573","hydrochlorothiazide+timolol"
"574","nifedipine+itraconazole"
"575","ketoconazole+nifedipine"
"576","amlodipine+bumetanide"
"577","aripiprazole+buspirone"
"578","amitriptyline+celecoxib"
"579","amlodipine+celecoxib"
"580","celecoxib+citalopram"
"581","amisulpride+clozapine"
"582","aripiprazole+clozapine"
"583","citalopram+clozapine"
"584","celecoxib+dexamethasone"
"585","celecoxib+diclofenac"
"586","amisulpride+diflunisal"
"587","celecoxib+diphenhydramine"
"588","dexamethasone+diphenhydramine"
"589","amlodipine+dipyridamole"
"590","clonidine+domperidone"
"591","dexamethasone+domperidone"
"592","amlodipine+donepezil"
"593","atropine+donepezil"
"594","domperidone+dopamine"
"595","amlodipine+doxazosin"
"596","celecoxib+duloxetine"
"597","dexamethasone+erlotinib"
"598","amitriptyline+estradiol"
"599","amlodipine+estradiol"
"600","celecoxib+estradiol"
"601","citalopram+estradiol"
"602","dexamethasone+estradiol"
"603","duloxetine+estradiol"
"604","celecoxib+fluoxetine"
"605","diphenhydramine+granisetron"
"606","doxorubicin+granisetron"
"607","amlodipine+haloperidol"
"608","aripiprazole+haloperidol"
"609","clozapine+haloperidol"
"610","dexamethasone+haloperidol"
"611","acebutolol+hydrochlorothiazide"
"612","celecoxib+hydrochlorothiazide"
"613","citalopram+hydrochlorothiazide"
"614","estradiol+hydrochlorothiazide"
"615","amlodipine+indapamide"
"616","dexamethasone+indomethacin"
"617","imatinib+indomethacin"
"618","bexarotene+loperamide"
"619","celecoxib+loratadine"
"620","amlodipine+loxapine"
"621","dexamethasone+loxapine"
"622","amlodipine+metoprolol"
"623","amisulpride+mirtazapine"
"624","amlodipine+mirtazapine"
"625","aripiprazole+mirtazapine"
"626","hydrochlorothiazide+mirtazapine"
"627","indapamide+nebivolol"
"628","melatonin+nefazodone"
"629","donepezil+nifedipine"
"630","doxazosin+nifedipine"
"631","donepezil+norepinephrine"
"632","clozapine+olanzapine"
"633","duloxetine+olanzapine"
"634","haloperidol+olanzapine"
"635","celecoxib+ondansetron"
"636","domperidone+ondansetron"
"637","erlotinib+ondansetron"
"638","loperamide+ondansetron"
"639","amitriptyline+oxybutynin"
"640","hydrochlorothiazide+oxybutynin"
"641","amitriptyline+paroxetine"
"642","amlodipine+paroxetine"
"643","aripiprazole+paroxetine"
"644","buspirone+paroxetine"
"645","celecoxib+paroxetine"
"646","dexamethasone+paroxetine"
"647","diclofenac+paroxetine"
"648","diphenhydramine+paroxetine"
"649","duloxetine+paroxetine"
"650","estradiol+paroxetine"
"651","haloperidol+paroxetine"
"652","hydrochlorothiazide+paroxetine"
"653","mirtazapine+paroxetine"
"654","olanzapine+paroxetine"
"655","ondansetron+paroxetine"
"656","loxapine+pergolide"
"657","pentoxifylline+primidone"
"658","celecoxib+prochlorperazine"
"659","diclofenac+prochlorperazine"
"660","diphenhydramine+prochlorperazine"
"661","erlotinib+prochlorperazine"
"662","loperamide+prochlorperazine"
"663","estradiol+progesterone"
"664","amitriptyline+promethazine"
"665","celecoxib+promethazine"
"666","citalopram+promethazine"
"667","dexamethasone+promethazine"
"668","diphenhydramine+promethazine"
"669","dopamine+promethazine"
"670","duloxetine+promethazine"
"671","estradiol+promethazine"
"672","haloperidol+promethazine"
"673","imatinib+promethazine"
"674","indomethacin+promethazine"
"675","loperamide+promethazine"
"676","norepinephrine+promethazine"
"677","olanzapine+promethazine"
"678","ondansetron+promethazine"
"679","paroxetine+promethazine"
"680","prochlorperazine+promethazine"
"681","buspirone+quetiapine"
"682","celecoxib+quetiapine"
"683","clonidine+quetiapine"
"684","clozapine+quetiapine"
"685","diphenhydramine+quetiapine"
"686","donepezil+quetiapine"
"687","duloxetine+quetiapine"
"688","haloperidol+quetiapine"
"689","mirtazapine+quetiapine"
"690","paroxetine+quetiapine"
"691","promethazine+quetiapine"
"692","amlodipine+raloxifene"
"693","glimepiride+ramelteon"
"694","aripiprazole+risperidone"
"695","clozapine+risperidone"
"696","donepezil+risperidone"
"697","duloxetine+risperidone"
"698","fluoxetine+risperidone"
"699","haloperidol+risperidone"
"700","mirtazapine+risperidone"
"701","olanzapine+risperidone"
"702","paroxetine+risperidone"
"703","promethazine+risperidone"
"704","quetiapine+risperidone"
"705","orlistat+rizatriptan"
"706","amitriptyline+rosiglitazone"
"707","amlodipine+rosiglitazone"
"708","clonidine+rosiglitazone"
"709","hydrochlorothiazide+rosiglitazone"
"710","paroxetine+rosiglitazone"
"711","quetiapine+rosiglitazone"
"712","bortezomib+simvastatin"
"713","lapatinib+simvastatin"
"714","dexamethasone+sorafenib"
"715","erlotinib+sorafenib"
"716","prochlorperazine+sorafenib"
"717","simvastatin+sorafenib"
"718","aripiprazole+spironolactone"
"719","carvedilol+spironolactone"
"720","paroxetine+spironolactone"
"721","propranolol+spironolactone"
"722","rosiglitazone+spironolactone"
"723","sorafenib+spironolactone"
"724","doxorubicin+tamoxifen"
"725","promethazine+tamoxifen"
"726","celecoxib+tamsulosin"
"727","dexamethasone+tamsulosin"
"728","lapatinib+tamsulosin"
"729","celecoxib+telmisartan"
"730","nifedipine+telmisartan"
"731","amlodipine+terazosin"
"732","celecoxib+tolterodine"
"733","hydrochlorothiazide+tolterodine"
"734","tamsulosin+tolterodine"
"735","duloxetine+topiramate"
"736","promethazine+topiramate"
"737","quetiapine+topiramate"
"738","sumatriptan+topiramate"
"739","simvastatin+topotecan"
"740","aripiprazole+trazodone"
"741","celecoxib+trazodone"
"742","citalopram+trazodone"
"743","fluoxetine+trazodone"
"744","haloperidol+trazodone"
"745","mianserin+trazodone"
"746","olanzapine+trazodone"
"747","paroxetine+trazodone"
"748","promethazine+trazodone"
"749","quetiapine+trazodone"
"750","risperidone+trazodone"
"751","rosiglitazone+trazodone"
"752","topiramate+trazodone"
"753","spironolactone+trifluoperazine"
"754","amlodipine+valdecoxib"
"755","celecoxib+valdecoxib"
"756","hydrochlorothiazide+valdecoxib"
"757","amlodipine+venlafaxine"
"758","aripiprazole+venlafaxine"
"759","celecoxib+venlafaxine"
"760","clozapine+venlafaxine"
"761","estradiol+venlafaxine"
"762","olanzapine+venlafaxine"
"763","paroxetine+venlafaxine"
"764","promethazine+venlafaxine"
"765","risperidone+venlafaxine"
"766","rosiglitazone+venlafaxine"
"767","sumatriptan+venlafaxine"
"768","topiramate+venlafaxine"
"769","trazodone+venlafaxine"
"770","hydrochlorothiazide+verapamil"
"771","nefazodone+verapamil"
"772","rosiglitazone+verapamil"
"773","bortezomib+vinblastine"
"774","lapatinib+vinblastine"
"775","simvastatin+vinblastine"
"776","dopamine+zafirlukast"
"777","clozapine+ziprasidone"
"778","haloperidol+ziprasidone"
"779","paroxetine+ziprasidone"
"780","risperidone+ziprasidone"
"781","indomethacin+zonisamide"
"782","domperidone+acetaminophen"
"783","amlodipine+methadone"
"784","dexamethasone+methadone"
"785","duloxetine+methadone"
"786","amlodipine+atenolol"
"787","hydrochlorothiazide+atenolol"
"788","nifedipine+atenolol"
"789","amlodipine+alprazolam"
"790","celecoxib+alprazolam"
"791","dexamethasone+alprazolam"
"792","diphenhydramine+alprazolam"
"793","estradiol+alprazolam"
"794","hydrochlorothiazide+alprazolam"
"795","loxapine+alprazolam"
"796","nefazodone+alprazolam"
"797","paroxetine+alprazolam"
"798","pergolide+alprazolam"
"799","promethazine+alprazolam"
"800","sumatriptan+alprazolam"
"801","topiramate+alprazolam"
"802","morphine+oxycodone"
"803","alosetron+testosterone"
"804","dexamethasone+testosterone"
"805","tamsulosin+midazolam"
"806","estradiol+norethisterone"
"807","letrozole+norethisterone"
"808","amitriptyline+fentanyl"
"809","amlodipine+fentanyl"
"810","celecoxib+fentanyl"
"811","clonidine+fentanyl"
"812","dexamethasone+fentanyl"
"813","diclofenac+fentanyl"
"814","diphenhydramine+fentanyl"
"815","estradiol+fentanyl"
"816","haloperidol+fentanyl"
"817","hydrochlorothiazide+fentanyl"
"818","ondansetron+fentanyl"
"819","paroxetine+fentanyl"
"820","prochlorperazine+fentanyl"
"821","promethazine+fentanyl"
"822","quetiapine+fentanyl"
"823","spironolactone+fentanyl"
"824","trazodone+fentanyl"
"825","methadone+fentanyl"
"826","codeine+ibuprofen"
"827","estradiol+ofloxacin"
"828","dopamine+orphenadrine"
"829","indomethacin+orphenadrine"
"830","spironolactone+orphenadrine"
"831","trifluoperazine+orphenadrine"
