"","x"
"294","amlodipine+venlafaxine"
"295","aripiprazole+venlafaxine"
"296","celecoxib+venlafaxine"
"297","clozapine+venlafaxine"
"298","estradiol+venlafaxine"
"299","olanzapine+venlafaxine"
"300","paroxetine+venlafaxine"
"301","promethazine+venlafaxine"
"302","quetiapine+venlafaxine"
"303","risperidone+venlafaxine"
"304","rosiglitazone+venlafaxine"
"305","sumatriptan+venlafaxine"
"306","topiramate+venlafaxine"
"307","trazodone+venlafaxine"
"308","hydrochlorothiazide+verapamil"
"309","nefazodone+verapamil"
"310","rosiglitazone+verapamil"
"311","pioglitazone+vildagliptin"
"312","bortezomib+vinblastine"
"313","lapatinib+vinblastine"
"314","simvastatin+vinblastine"
"315","quinidine+warfarin"
"316","dopamine+zafirlukast"
"317","aripiprazole+ziprasidone"
"318","clozapine+ziprasidone"
"319","haloperidol+ziprasidone"
"320","olanzapine+ziprasidone"
"321","paroxetine+ziprasidone"
"322","quetiapine+ziprasidone"
"323","risperidone+ziprasidone"
"324","indomethacin+zonisamide"
"325","bicalutamide+goserelin"
"326","tamoxifen+goserelin"
"327","topiramate+phentermine"
"328","octreotide+midodrine"
"329","aminophylline+theophylline"
"330","diphenhydramine+theophylline"
"331","gabapentin+morphine"
"332","naltrexone+morphine"
"333","diclofenac+acetaminophen"
"334","domperidone+acetaminophen"
"335","ketoprofen+acetaminophen"
"336","tramadol+acetaminophen"
"337","morphine+acetaminophen"
"338","promethazine+codeine"
"339","acetaminophen+codeine"
"340","bupivacaine+hydromorphone"
"341","amlodipine+methadone"
"342","dexamethasone+methadone"
"343","duloxetine+methadone"
"344","amlodipine+atenolol"
"345","hydrochlorothiazide+atenolol"
"346","nifedipine+atenolol"
"347","amlodipine+alprazolam"
"348","celecoxib+alprazolam"
"349","dexamethasone+alprazolam"
"350","diphenhydramine+alprazolam"
"351","estradiol+alprazolam"
"352","hydrochlorothiazide+alprazolam"
"353","loxapine+alprazolam"
"354","nefazodone+alprazolam"
"355","paroxetine+alprazolam"
"356","pergolide+alprazolam"
"357","promethazine+alprazolam"
"358","sumatriptan+alprazolam"
"359","topiramate+alprazolam"
"360","atropine+meperidine"
"361","promethazine+meperidine"
"362","amitriptyline+chlordiazepoxide"
"363","naloxone+oxycodone"
"364","morphine+oxycodone"
"365","acetaminophen+oxycodone"
"366","hydromorphone+oxycodone"
"367","alosetron+testosterone"
"368","dexamethasone+testosterone"
"369","naloxone+pentazocine"
"370","acetaminophen+pentazocine"
"371","tamsulosin+midazolam"
"372","estradiol+norethisterone"
"373","letrozole+norethisterone"
"374","amitriptyline+fentanyl"
"375","amlodipine+fentanyl"
"376","celecoxib+fentanyl"
"377","clonidine+fentanyl"
"378","dexamethasone+fentanyl"
"379","diclofenac+fentanyl"
"380","diphenhydramine+fentanyl"
"381","droperidol+fentanyl"
"382","estradiol+fentanyl"
"383","haloperidol+fentanyl"
"384","hydrochlorothiazide+fentanyl"
"385","ondansetron+fentanyl"
"386","paroxetine+fentanyl"
"387","prochlorperazine+fentanyl"
"388","promethazine+fentanyl"
"389","quetiapine+fentanyl"
"390","spironolactone+fentanyl"
"391","trazodone+fentanyl"
"392","methadone+fentanyl"
"393","midazolam+fentanyl"
"394","fentanyl+diazepam"
"395","naloxone+buprenorphine"
"396","naltrexone+buprenorphine"
"397","rivastigmine+memantine"
"398","diphenhydramine+ibuprofen"
"399","phenylephrine+ibuprofen"
"400","codeine+ibuprofen"
"401","oxycodone+ibuprofen"
"402","hydrocodone+ibuprofen"
"403","codeine+chlorpheniramine"
"404","hydrocodone+chlorpheniramine"
"405","estradiol+ofloxacin"
"406","dopamine+orphenadrine"
"407","indomethacin+orphenadrine"
"408","spironolactone+orphenadrine"
"409","trifluoperazine+orphenadrine"
"410","lidocaine+ceftriaxone"
"411","morphine+ketamine"
"412","hydrochlorothiazide+hydralazine"
"413","sildenafil+methyltestosterone"
