name1,name2,,,,
Amphotericin B,Anidulafungin,21282457,http://www.ncbi.nlm.nih.gov/pubmed/ 21282457,"Chaturvedi V, Ramani R, Andes D, Diekema DJ, Pfaller MA, Ghannoum MA, Knapp C, Lockhart SR, Ostrosky-Zeichner L, Walsh TJ, Marchillo K, Messer S, Welshenbaugh AR, Bastulli C, Iqbal N, Paetznick VL, Rodriguez J, Sein T. (2011) Multilaboratory testing of two-drug combinations of antifungals against Candida albicans, Candida glabrata, and Candida parapsilosis. Antimicrob Agents Chemother. 55(4):1543-8.",
Amphotericin B,Azithromycin,9511049,http://www.ncbi.nlm.nih.gov/pubmed/ 9511049,"Clancy CJ, Nguyen MH. (1998) The combination ofand azithromycin as a potential new therapeutic approach to fusariosis. J Antimicrob Chemother. 41(1):127-30.",
Amphotericin B,Azithromycin,9447909,http://www.ncbi.nlm.nih.gov/pubmed/ 9447909,"Nguyen MH, Clancy CJ, Yu YC, Lewin AS. (1997) Potentiation of antifungal activity ofby azithromycin against Aspergillus species. Eur J Clin Microbiol Infect Dis. 16(11):846-8.",
Amphotericin B,Bupivacaine,16527460,http://www.ncbi.nlm.nih.gov/pubmed/ 16527460,"Rodrigues AG, Araujo R, Pina-Vaz C. (2006) Interaction of local anaesthetics with other antifungal agents against pathogenic Aspergillus. Int J Antimicrob Agents. 27(4):339-43.",
Amphotericin B,Caspofungin,19029317,http://www.ncbi.nlm.nih.gov/pubmed/ 19029317,"Kiraz N, Dag I, Yamac M, Kiremitci A, Kasifoglu N, Akgun Y. (2009) Antifungal activity of caspofungin in combination withagainst Candida glabrata: comparison of disk diffusion, Etest, and time-kill methods. Antimicrob Agents Chemother. 53(2):788-90.",
Amphotericin B,Caspofungin,21282457,http://www.ncbi.nlm.nih.gov/pubmed/ 21282457,"Chaturvedi V, Ramani R, Andes D, Diekema DJ, Pfaller MA, Ghannoum MA, Knapp C, Lockhart SR, Ostrosky-Zeichner L, Walsh TJ, Marchillo K, Messer S, Welshenbaugh AR, Bastulli C, Iqbal N, Paetznick VL, Rodriguez J, Sein T. (2011) Multilaboratory testing of two-drug combinations of antifungals against Candida albicans, Candida glabrata, and Candida parapsilosis. Antimicrob Agents Chemother. 55(4):1543-8.",
Amphotericin B,Caspofungin,16723597,http://www.ncbi.nlm.nih.gov/pubmed/16723597,"Cuenca-Estrella M, Gomez-Lopez A, Buitrago MJ, Mellado E, Garcia-Effron G, Rodriguez-Tudela JL. (2006) In vitro activities of 10 combinations of antifungal agents against the multiresistant pathogen Scopulariopsis brevicaulis. Antimicrob Agents Chemother. 50(6):2248-50.",
Amphotericin B,Caspofungin,11751145,http://www.ncbi.nlm.nih.gov/pubmed/11751145,"Arikan S, Lozano-Chiu M, Paetznick V, Rex JH. (2002) In vitro synergy of caspofungin andagainst Aspergillus and Fusarium spp. Antimicrob Agents Chemother. 46(1):245-7.",
Amphotericin B,Caspofungin acetate,9021188,http://www.ncbi.nlm.nih.gov/pubmed/ 9021188,"Franzot SP, Casadevall A. (1997) Pneumocandin L-743,872 enhances the activities ofand fluconazole against Cryptococcus neoformans in vitro. Antimicrob Agents Chemother. 41(2):331-6.",
Amphotericin B,Caspofungin,20202797,http://www.ncbi.nlm.nih.gov/pubmed/ 20202797,"Li H, Lu Q, Wan Z, Zhang J. (2010) In vitro combined activity of amphotericin B, caspofungin and voriconazole against clinical isolates of Trichosporon asahii. Int J Antimicrob Agents. 35(6):550-2.",
Amphotericin B,Cilofungin,1929290,http://www.ncbi.nlm.nih.gov/pubmed/ 1929290,"Hanson LH, Perlman AM, Clemons KV, Stevens DA. (1991) Synergy between cilofungin andin a murine model of candidiasis. Antimicrob Agents Chemother. 35(7):1334-7.",
Amphotericin B,Cilofungin,1759836,http://www.ncbi.nlm.nih.gov/pubmed/ 1759836,"Sugar AM, Goldani LZ, Picard M. (1991) Treatment of murine invasive candidiasis withand cilofungin: evidence for enhanced activity with combination therapy. Antimicrob Agents Chemother. 35(10):2128-30.",
Amphotericin B,Ciprofloxacin,18299413,http://www.ncbi.nlm.nih.gov/pubmed/ 18299413,"Stergiopoulou T, Meletiadis J, Sein T, Papaioannidou P, Tsiouris I, Roilides E, Walsh TJ. (2008) Isobolographic analysis of pharmacodynamic interactions between antifungal agents and ciprofloxacin against Candida albicans and Aspergillus fumigatus. Antimicrob Agents Chemother. 52(6):2196-204.",
Amphotericin B,Cyclosporine,18070977,http://www.ncbi.nlm.nih.gov/pubmed/ 18070977,"Kontoyiannis DP, Lewis RE, Alexander BD, Lortholary O, Dromer F, Gupta KL, John GT, Del Busto R, Klintmalm GB, Somani J, Lyon GM, Pursell K, Stosor V, Munoz P, Limaye AP, Kalil AC, Pruett TL, Garcia-Diaz J, Humar A, Houston S, House AA, Wray D, Orloff S, Dowdy LA, Fisher RA, Heitman J, Albert ND, Wagener MM, Singh N. (2008) Calcineurin inhibitor agents interact synergistically with antifungal agents in vitro against Cryptococcus neoformans isolates: correlation with outcome in solid organ transplant recipients with cryptococcosis. Antimicrob Agents Chemother. 52(2):735-8.",
Amphotericin B,Cyclosporine,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E, Schwarz P, Lortholary O. (2009) In vitro interactions between antifungals and immunosuppressive drugs against zygomycetes. Antimicrob Agents Chemother. 53(8):3549-51.",
Amphotericin B,Dodecapeptide,17156978,http://www.ncbi.nlm.nih.gov/pubmed/ 17156978,"Duggineni S, Srivastava G, Kundu B, Kumar M, Chaturvedi AK, Shukla PK. (2007) A novel dodecapeptide from a combinatorial synthetic library exhibits potent antifungal activity and synergy with standard antimycotic agents. Int J Antimicrob Agents. 29(1):73-8.",
Amphotericin B,DU-6859a,7492096,http://www.ncbi.nlm.nih.gov/pubmed/ 7492096,"Nakajima R, Kitamura A, Someya K, Tanaka M, Sato K. (1995) In vitro and in vivo antifungal activities of DU-6859a, a fluoroquinolone, in combination withand fluconazole against pathogenic fungi. Antimicrob Agents Chemother. 39(7):1517-21.",
Amphotericin B,ethambutol,19520551,http://www.ncbi.nlm.nih.gov/pubmed/ 19520551,"Cordeiro Rde A, Brilhante RS, Rocha MF, Medrano DJ, Monteiro AJ, Tavares JL, de Lima RA, de Camargo ZP, Sidrim JJ. (2009) In vitro synergistic effects of antituberculous drugs plus antifungals against Coccidioides posadasii. Int J Antimicrob Agents. 34(3):278-80.",
Amphotericin B,Flucytosine,16377675,http://www.ncbi.nlm.nih.gov/pubmed/ 16377675,"Schwarz P, Dromer F, Lortholary O, Dannaoui E. (2006) Efficacy ofin combination with flucytosine against flucytosine-susceptible or flucytosine-resistant isolates of Cryptococcus neoformans during disseminated murine cryptococcosis. Antimicrob Agents Chemother. 50(1):113-20.",
Amphotericin B,Flucytosine,14506059,http://www.ncbi.nlm.nih.gov/pubmed/ 14506059,"Schwarz P, Dromer F, Lortholary O, Dannaoui E. (2003) In vitro interaction of flucytosine with conventional and new antifungals against Cryptococcus neoformans clinical isolates. Antimicrob Agents Chemother. 47(10):3361-4.",
Amphotericin B,Flucytosine,17043122,http://www.ncbi.nlm.nih.gov/pubmed/ 17043122,"Schwarz P, Janbon G, Dromer F, Lortholary O, Dannaoui E. (2007) Combination ofwith flucytosine is active in vitro against flucytosine-resistant isolates of Cryptococcus neoformans. Antimicrob Agents Chemother. 51(1):383-5.",
Amphotericin B,Isoniazid,19520551,http://www.ncbi.nlm.nih.gov/pubmed/ 19520551,"Cordeiro Rde A, Brilhante RS, Rocha MF, Medrano DJ, Monteiro AJ, Tavares JL, de Lima RA, de Camargo ZP, Sidrim JJ. (2009) In vitro synergistic effects of antituberculous drugs plus antifungals against Coccidioides posadasii. Int J Antimicrob Agents. 34(3):278-80.",
Amphotericin B,lactoferrin,19307370,http://www.ncbi.nlm.nih.gov/pubmed/ 19307370,"Zarember KA, Cruz AR, Huang CY, Gallin JI. (2009) Antifungal activities of natural and synthetic iron chelators alone and in combination with azole and polyene antibiotics against Aspergillus fumigatus. Antimicrob Agents Chemother. 53(6):2654-6.",
Amphotericin B,Lidocaine,16527460,http://www.ncbi.nlm.nih.gov/pubmed/ 16527460,"Rodrigues AG, Araujo R, Pina-Vaz C. (2006) Interaction of local anaesthetics with other antifungal agents against pathogenic Aspergillus. Int J Antimicrob Agents. 27(4):339-43.",
Amphotericin B,Micafungin,16048969,http://www.ncbi.nlm.nih.gov/pubmed/16048969,"Yustes C, Guarro J. (2005) In vitro synergistic interaction betweenand micafungin against Scedosporium spp. Antimicrob Agents Chemother. 49(8):3498-500.",
Amphotericin B,Micafungin,15673724,http://www.ncbi.nlm.nih.gov/pubmed/ 15673724,"Serena C, Pastor FJ, Gilgado F, Mayayo E, Guarro J. (2005) Efficacy of micafungin in combination with other drugs in a murine model of disseminated trichosporonosis. Antimicrob Agents Chemother. 49(2):497-502.",
Amphotericin B,Micafungin,15980382,http://www.ncbi.nlm.nih.gov/pubmed/ 15980382,"Serena C, Fernï¿½ï¿½ndez-Torres B, Pastor FJ, Trilles L, Lazï¿½ï¿½ra Mdos S, Nolard N, Guarro J. (2005) In vitro interactions of micafungin with other antifungal drugs against clinical isolates of four species of Cryptococcus. Antimicrob Agents Chemother. 49(7):2994-6.",
Amphotericin B,Miconazole,7695271,http://www.ncbi.nlm.nih.gov/pubmed/ 7695271,"Maesaki S, Kohno S, Kaku M, Koga H, Hara K. (1994) Effects of antifungal agent combinations administered simultaneously and sequentially against Aspergillus fumigatus. Antimicrob Agents Chemother. 38(12):2843-5.",
Amphotericin B,Mycograb,12821470,http://www.ncbi.nlm.nih.gov/pubmed/ 12821470,"Matthews RC, Rigg G, Hodgetts S, Carter T, Chapman C, Gregory C, Illidge C, Burnie J. (2003) Preclinical assessment of the efficacy of mycograb, a human recombinant antibody against fungal HSP90. Antimicrob Agents Chemother. 47(7):2208-16.",
Amphotericin B,Mycograb,15629225,http://www.ncbi.nlm.nih.gov/pubmed/ 15629225,"Nooney L, Matthews RC, Burnie JP. (2005) Evaluation of Mycograb, amphotericin B, caspofungin, and fluconazole in combination against Cryptococcus neoformans by checkerboard and time-kill methodologies. Diagn Microbiol Infect Dis. 51(1):19-29.",
Amphotericin B,Pentamidine,12234872,http://www.ncbi.nlm.nih.gov/pubmed/ 12234872,"Afeltra J, Dannaoui E, Meis JF, Rodriguez-Tudela JL, Verweij PE. (2002) In vitro synergistic interaction betweenand pentamidine against Scedosporium prolificans. Antimicrob Agents Chemother. 46(10):3323-6.",
Amphotericin B,Posaconazole,21282457,http://www.ncbi.nlm.nih.gov/pubmed/ 21282457,"Chaturvedi V, Ramani R, Andes D, Diekema DJ, Pfaller MA, Ghannoum MA, Knapp C, Lockhart SR, Ostrosky-Zeichner L, Walsh TJ, Marchillo K, Messer S, Welshenbaugh AR, Bastulli C, Iqbal N, Paetznick VL, Rodriguez J, Sein T. (2011) Multilaboratory testing of two-drug combinations of antifungals against Candida albicans, Candida glabrata, and Candida parapsilosis. Antimicrob Agents Chemother. 55(4):1543-8.",
Amphotericin B,Posaconazole,18458135,http://www.ncbi.nlm.nih.gov/pubmed/18458135,"Perkhofer S, Locher M, Cuenca-Estrella M, Rï¿½ï¿½chel R, Wï¿½ï¿½rzner R, Dierich MP, Lass-Fl?rl C. (2008) Posaconazole enhances the activity ofagainst hyphae of zygomycetes in vitro. Antimicrob Agents Chemother. 52(7):2636-8.",
Amphotericin B,Posaconazole,15673745,http://www.ncbi.nlm.nih.gov/pubmed/ 15673745,"Cacciapuoti A, Gurnani M, Halpern J, Norris C, Patel R, Loebenberg D. (2005) Interaction between posaconazole andin concomitant treatment against Candida albicans in vivo. Antimicrob Agents Chemother. 49(2):638-42.",
Amphotericin B,Posaconazole,17116665,http://www.ncbi.nlm.nih.gov/pubmed/ 17116665,"Perkhofer S, Lugger H, Dierich MP, Lass-Fl?rl C. (2007) Posaconazole enhances the activity ofagainst Aspergillus hyphae in vitro. Antimicrob Agents Chemother. 51(2):791-3.",
Amphotericin B,rapamycin,18070977,http://www.ncbi.nlm.nih.gov/pubmed/ 18070977,"Kontoyiannis DP, Lewis RE, Alexander BD, Lortholary O, Dromer F, Gupta KL, John GT, Del Busto R, Klintmalm GB, Somani J, Lyon GM, Pursell K, Stosor V, Munoz P, Limaye AP, Kalil AC, Pruett TL, Garcia-Diaz J, Humar A, Houston S, House AA, Wray D, Orloff S, Dowdy LA, Fisher RA, Heitman J, Albert ND, Wagener MM, Singh N. (2008) Calcineurin inhibitor agents interact synergistically with antifungal agents in vitro against Cryptococcus neoformans isolates: correlation with outcome in solid organ transplant recipients with cryptococcosis. Antimicrob Agents Chemother. 52(2):735-8.",
Amphotericin B,Rapamycin,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E, Schwarz P, Lortholary O. (2009) In vitro interactions between antifungals and immunosuppressive drugs against zygomycetes. Antimicrob Agents Chemother. 53(8):3549-51.",
Amphotericin B,Ravuconazole,14761725,http://www.ncbi.nlm.nih.gov/pubmed/ 14761725,"Ortoneda M, Capilla J, Javier Pastor F, Pujol I, Guarro J. (2004) In vitro interactions of licensed and novel antifungal drugs against Fusarium spp. Diagn Microbiol Infect Dis. 48(1):69-71.",
Amphotericin B,Rifabutin,9517924,http://www.ncbi.nlm.nih.gov/pubmed/ 9517924,"Clancy CJ, Yu YC, Lewin A, Nguyen MH. (1998) Inhibition of RNA synthesis as a therapeutic strategy against Aspergillus and Fusarium: demonstration of in vitro synergy between rifabutin and amphotericin B. Antimicrob Agents Chemother. 42(3):509-13.",
Amphotericin B,FK506,18070977,http://www.ncbi.nlm.nih.gov/pubmed/ 18070977,"Kontoyiannis DP, Lewis RE, Alexander BD, Lortholary O, Dromer F, Gupta KL, John GT, Del Busto R, Klintmalm GB, Somani J, Lyon GM, Pursell K, Stosor V, Munoz P, Limaye AP, Kalil AC, Pruett TL, Garcia-Diaz J, Humar A, Houston S, House AA, Wray D, Orloff S, Dowdy LA, Fisher RA, Heitman J, Albert ND, Wagener MM, Singh N. (2008) Calcineurin inhibitor agents interact synergistically with antifungal agents in vitro against Cryptococcus neoformans isolates: correlation with outcome in solid organ transplant recipients with cryptococcosis. Antimicrob Agents Chemother. 52(2):735-8.",
Amphotericin B,Terbinafine,12121963,http://www.ncbi.nlm.nih.gov/pubmed/ 12121963,"Dannaoui E, Afeltra J, Meis JF, Verweij PE; Eurofung Network. (2002) In vitro susceptibilities of zygomycetes to combinations of antimicrobial agents. Antimicrob Agents Chemother. 46(8):2708-11.",
Amphotericin B,Voriconazole,20202797,http://www.ncbi.nlm.nih.gov/pubmed/ 20202797,"Li H, Lu Q, Wan Z, Zhang J. (2010) In vitro combined activity of amphotericin B, caspofungin and voriconazole against clinical isolates of Trichosporon asahii. Int J Antimicrob Agents. 35(6):550-2.",
Amphotericin B,Voriconazole,18054469,http://www.ncbi.nlm.nih.gov/pubmed/ 18054469,"Cï¿½ï¿½rdoba S, Rodero L, Vivot W, Abrantes R, Davel G, Vitale RG.. (2008) In vitro interactions of antifungal agents against clinical isolates of Fusarium spp. Int J Antimicrob Agents. Feb;31(2):171-4.",
Amphotericin B,Cyclosporine,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E., Schwarz P., Lortholary O. (2009) In Vitro Interactions between Antifungals and Immunosuppressive Drugs against Zygomycetes. Antimicrobial Agents and Chemotherapy 53:3549-3551. DOI: 10.1128/aac.00184-09",
Amphotericin B,Micafungin,19280292,http://www.ncbi.nlm.nih.gov/pubmed/19280292,"Nishi I., Sunada A., Toyokawa M., Asari S., Iwatani Y. (2009) In vitro antifungal combination effects of micafungin with fluconazole, voriconazole, amphotericin B, and flucytosine against clinical isolates of Candida species (vol 15, pg 1, 2009). Journal of Infection and Chemotherapy 15:123-124. DOI: 10.1007/s10156-009-0002-7",
Amphotericin B,Disulfiram,12799470,http://www.ncbi.nlm.nih.gov/pubmed/12799470,"Borisy A.A., Elliott P.J., Hurst N.W., Lee M.S., Lehar J., Price E.R., Serbedzija G., Zimmermann G.R., Foley M.A., Stockwell B.R., Keith C.T. (2003) Systematic discovery of multicomponent therapeutics. Proceedings of the National Academy of Sciences of the United States of America 100:7977-7982. DOI: 10.1073/pnas.1337088100.",
Amphotericin B,Flucytosine,7047097,http://www.ncbi.nlm.nih.gov/pubmed/7047097,"Chen H.H., Liushih R.N., Hsieh W.C. (1982) Combined in vitro activity ofand 5-fluorocytosine against Cryptococcus neoformans and Candida albicans. Zhonghua Min Guo Wei Sheng Wu Ji Mian Yi Xue Za Zhi 15:106-12.",
Amphotericin B,Terbinafine,9511038,http://www.ncbi.nlm.nih.gov/pubmed/9511038,"Barchiesi F., Di Francesco L.F., Compagnucci P., Arzeni D., Giacometti A., Scalise G. (1998) In-vitro interaction of terbinafine with amphotericin B, fluconazole and itraconazole against clinical isolates of Candida albicans. Journal of Antimicrobial Chemotherapy 41:59-65.",
Amphotericin B,Tetracycline,18310042,http://www.ncbi.nlm.nih.gov/pubmed/18310042,"Oliver B.G., Silver P.M., Marie C., Hoot S.J., Leyde S.E., White T.C. (2008) Tetracycline alters drug susceptibility in Candida albicans and other pathogenic fungi. Microbiology-Sgm 154:960-970.",
Amphotericin B,Caspofungin,9021188,http://www.ncbi.nlm.nih.gov/pubmed/9021188,"Franzot S.P., Casadevall A. (1997) Pneumocandin L-743,872 enhances the activities ofand fluconazole against Cryptococcus neoformans in vitro. Antimicrobial Agents and Chemotherapy 41:331-336.",
Amphotericin B,Itraconazole,1309690,http://www.ncbi.nlm.nih.gov/pubmed/1309690,"Denning D.W., Hanson L.H., Perlman A.M., Stevens D.A. (1992) Invitro susceptibility and synergy studies of aspergillus species to conventional and new agents. Diagnostic Microbiology and Infectious Disease 15:21-34.",
Amphotericin B,Ketoconazole,6295266,http://www.ncbi.nlm.nih.gov/pubmed/6295266,"Odds F.C. (1982) Interactions among amphotericin-b, 5-fluorocytosine, ketoconazole, and miconazole against pathogenic fungi invitro. Antimicrobial Agents and Chemotherapy 22:763-770.",
Amphotericin B,FK506,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E., Schwarz P., Lortholary O. (2009) In Vitro Interactions between Antifungals and Immunosuppressive Drugs against Zygomycetes. Antimicrobial Agents and Chemotherapy 53:3549-3551. DOI: 10.1128/aac.00184-09",
Amphotericin B,Rapamycin,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295,"Dannaoui E., Schwarz P., Lortholary O. (2009) In Vitro Interactions between Antifungals and Immunosuppressive Drugs against Zygomycetes. Antimicrobial Agents and Chemotherapy 53:3549-3551. DOI: 10.1128/aac.00184-09",
Amphotericin B,Cyclosporine A,19451295,http://www.ncbi.nlm.nih.gov/pubmed/19451295 ,"Dannaoui E., Schwarz P., Lortholary O. (2009) In Vitro Interactions between Antifungals and Immunosuppressive Drugs against Zygomycetes. Antimicrobial Agents and Chemotherapy 53:3549-3551. DOI: 10.1128/aac.00184-09",
Anidulafungin,Amphotericin B,21282457,http://www.ncbi.nlm.nih.gov/pubmed/ 21282457,"Chaturvedi V, Ramani R, Andes D, Diekema DJ, Pfaller MA, Ghannoum MA, Knapp C, Lockhart SR, Ostrosky-Zeichner L, Walsh TJ, Marchillo K, Messer S, Welshenbaugh AR, Bastulli C, Iqbal N, Paetznick VL, Rodriguez J, Sein T. (2011) Multilaboratory testing of two-drug combinations of antifungals against Candida albicans, Candida glabrata, and Candida parapsilosis. Antimicrob Agents Chemother. 55(4):1543-8.",
Anidulafungin,Cyclic peptide GS14K4,20106636,http://www.ncbi.nlm.nih.gov/pubmed/ 20106636,"Harris MR, Coote PJ. (2010) Combination of caspofungin orwith antimicrobial peptides results in potent synergistic killing of Candida albicans and Candida glabrata in vitro. Int J Antimicrob Agents. 35(4):347-56. Epub 2010 Jan 27.",
Anidulafungin,Dermaseptin S3,20106636,http://www.ncbi.nlm.nih.gov/pubmed/ 20106636,"Harris MR, Coote PJ. (2010) Combination of caspofungin orwith antimicrobial peptides results in potent synergistic killing of Candida albicans and Candida glabrata in vitro. Int J Antimicrob Agents. 35(4):347-56. Epub 2010 Jan 27.",
Anidulafungin,Fluconazole,12052624,http://www.ncbi.nlm.nih.gov/pubmed/12052624,"Roling EE, Klepser ME, Wasson A, Lewis RE, Ernst EJ, Pfaller MA. (2002) Antifungal activities of fluconazole, caspofungin (MK0991), and(LY 303366) alone and in combination against Candida spp. and Crytococcus neoformans via time-kill methods. Diagn Microbiol Infect Dis. 43(1):13-7.",
Anidulafungin,Itraconazole,16048988,http://www.ncbi.nlm.nih.gov/pubmed/16048988,"Philip A, Odabasi Z, Rodriguez J, Paetznick VL, Chen E, Rex JH, Ostrosky-Zeichner L. (2005) In vitro synergy testing ofwith itraconazole, voriconazole, and amphotericin B against Aspergillus spp. and Fusarium spp. Antimicrob Agents Chemother. 49(8):3572-4.",
Anidulafungin,Itraconazole,16414247,http://www.ncbi.nlm.nih.gov/pubmed/ 16414247,"Karlowsky JA, Hoban DJ, Zhanel GG, Goldstein BP. (2006) In vitro interactions ofwith azole antifungals, amphotericin B and 5-fluorocytosine against Candida species. Int J Antimicrob Agents. 27(2):174-7.",
Anidulafungin,Magainin 2,20106636,http://www.ncbi.nlm.nih.gov/pubmed/ 20106636,"Harris MR, Coote PJ. (2010) Combination of caspofungin orwith antimicrobial peptides results in potent synergistic killing of Candida albicans and Candida glabrata in vitro. Int J Antimicrob Agents. 35(4):347-56.",
Anidulafungin,Nikkomycin Z,10952614,http://www.ncbi.nlm.nih.gov/pubmed/ 10952614,Stevens DA. (2000) Drug interaction studies of a glucan synthase inhibitor (LY 303366) and a chitin synthase inhibitor (Nikkomycin Z) for inhibition and killing of fungal pathogens. Antimicrob Agents Chemother. 44(9):2547-8.,
Anidulafungin,Ranalexin,20106636,http://www.ncbi.nlm.nih.gov/pubmed/ 20106636,"Harris MR, Coote PJ. (2010) Combination of caspofungin orwith antimicrobial peptides results in potent synergistic killing of Candida albicans and Candida glabrata in vitro. Int J Antimicrob Agents. 35(4):347-56. Epub 2010 Jan 27.",
