drug	event
mianserin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
mianserin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
mianserin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
mianserin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
milnacipran	KEGG_CALCIUM_SIGNALING_PATHWAY
milnacipran	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
milnacipran	KEGG_LONG_TERM_POTENTIATION
milnacipran	KEGG_ALZHEIMERS_DISEASE
milnacipran	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS
milnacipran	KEGG_HUNTINGTONS_DISEASE
celiprolol	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
celiprolol	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ixabepilone	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION
ixabepilone	KEGG_GAP_JUNCTION
thymidine	KEGG_PYRIMIDINE_METABOLISM
thymidine	KEGG_DRUG_METABOLISM_OTHER_ENZYMES
nitrazepam	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
quazepam	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
flunitrazepam	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
tiotropium	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
tiotropium	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
tiotropium	KEGG_CALCIUM_SIGNALING_PATHWAY
tiotropium	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
tiotropium	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
varenicline	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
dasatinib	KEGG_PURINE_METABOLISM
dasatinib	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
dasatinib	KEGG_SPLICEOSOME
dasatinib	KEGG_MAPK_SIGNALING_PATHWAY
dasatinib	KEGG_ENDOCYTOSIS
dasatinib	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION
dasatinib	KEGG_MAPK_SIGNALING_PATHWAY
dasatinib	KEGG_VEGF_SIGNALING_PATHWAY
dasatinib	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY
dasatinib	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY
dasatinib	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY
dasatinib	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY
dasatinib	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY
dasatinib	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION
dasatinib	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY
dasatinib	KEGG_GNRH_SIGNALING_PATHWAY
dasatinib	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION
dasatinib	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS
dasatinib	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION
dasatinib	KEGG_LEISHMANIA_INFECTION
bepridil	KEGG_MAPK_SIGNALING_PATHWAY
bepridil	KEGG_CALCIUM_SIGNALING_PATHWAY
bepridil	KEGG_CARDIAC_MUSCLE_CONTRACTION
bepridil	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
bepridil	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
bepridil	KEGG_DILATED_CARDIOMYOPATHY
bepridil	KEGG_MAPK_SIGNALING_PATHWAY
bepridil	KEGG_CARDIAC_MUSCLE_CONTRACTION
bepridil	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION
bepridil	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION
bepridil	KEGG_TASTE_TRANSDUCTION
bepridil	KEGG_MAPK_SIGNALING_PATHWAY
bepridil	KEGG_CALCIUM_SIGNALING_PATHWAY
bepridil	KEGG_LONG_TERM_DEPRESSION
bepridil	KEGG_TYPE_II_DIABETES_MELLITUS
aripiprazole	KEGG_PARKINSONS_DISEASE
aripiprazole	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
aripiprazole	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
aripiprazole	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
aripiprazole	KEGG_CALCIUM_SIGNALING_PATHWAY
aripiprazole	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
aripiprazole	KEGG_GAP_JUNCTION
aripiprazole	KEGG_CALCIUM_SIGNALING_PATHWAY
aripiprazole	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
aripiprazole	KEGG_CALCIUM_SIGNALING_PATHWAY
aripiprazole	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
aripiprazole	KEGG_LONG_TERM_POTENTIATION
aripiprazole	KEGG_ALZHEIMERS_DISEASE
aripiprazole	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS
aripiprazole	KEGG_HUNTINGTONS_DISEASE
ketamine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ketamine	KEGG_CALCIUM_SIGNALING_PATHWAY
ketamine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ketamine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ketamine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ketamine	KEGG_CALCIUM_SIGNALING_PATHWAY
ketamine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ketamine	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
ketamine	KEGG_CALCIUM_SIGNALING_PATHWAY
ketamine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ketamine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ketamine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ketamine	KEGG_CALCIUM_SIGNALING_PATHWAY
ketamine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ketamine	KEGG_GAP_JUNCTION
estazolam	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
zopiclone	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
zopiclone	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
zopiclone	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
zopiclone	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
captopril	KEGG_CALCIUM_SIGNALING_PATHWAY
captopril	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
captopril	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
captopril	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
brinzolamide	KEGG_NITROGEN_METABOLISM
desflurane	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
desflurane	KEGG_OXIDATIVE_PHOSPHORYLATION
desflurane	KEGG_ALZHEIMERS_DISEASE
desflurane	KEGG_PARKINSONS_DISEASE
desflurane	KEGG_HUNTINGTONS_DISEASE
desflurane	KEGG_OXIDATIVE_PHOSPHORYLATION
desflurane	KEGG_PARKINSONS_DISEASE
naloxone	KEGG_DRUG_METABOLISM_OTHER_ENZYMES
phenobarbital	KEGG_CALCIUM_SIGNALING_PATHWAY
phenobarbital	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
phenobarbital	KEGG_LONG_TERM_POTENTIATION
phenobarbital	KEGG_ALZHEIMERS_DISEASE
phenobarbital	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS
phenobarbital	KEGG_HUNTINGTONS_DISEASE
phenobarbital	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
phenobarbital	KEGG_CALCIUM_SIGNALING_PATHWAY
phenobarbital	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
phenobarbital	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
orphenadrine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
orphenadrine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
orphenadrine	KEGG_CALCIUM_SIGNALING_PATHWAY
orphenadrine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
orphenadrine	KEGG_LONG_TERM_POTENTIATION
orphenadrine	KEGG_ALZHEIMERS_DISEASE
orphenadrine	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS
orphenadrine	KEGG_HUNTINGTONS_DISEASE
orphenadrine	KEGG_CALCIUM_SIGNALING_PATHWAY
orphenadrine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
orphenadrine	KEGG_LONG_TERM_POTENTIATION
orphenadrine	KEGG_ALZHEIMERS_DISEASE
orphenadrine	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS
procarbazine	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
procarbazine	KEGG_ARGININE_AND_PROLINE_METABOLISM
procarbazine	KEGG_HISTIDINE_METABOLISM
procarbazine	KEGG_TYROSINE_METABOLISM
procarbazine	KEGG_PHENYLALANINE_METABOLISM
procarbazine	KEGG_TRYPTOPHAN_METABOLISM
procarbazine	KEGG_DRUG_METABOLISM_CYTOCHROME_P450
itraconazole	KEGG_STEROID_BIOSYNTHESIS
bupropion	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_GAP_JUNCTION
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_GAP_JUNCTION
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_GAP_JUNCTION
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
doxepin	KEGG_CALCIUM_SIGNALING_PATHWAY
doxepin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
doxepin	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
carvedilol	KEGG_OXIDATIVE_PHOSPHORYLATION
carvedilol	KEGG_ALZHEIMERS_DISEASE
carvedilol	KEGG_PARKINSONS_DISEASE
carvedilol	KEGG_HUNTINGTONS_DISEASE
carvedilol	KEGG_CELL_ADHESION_MOLECULES_CAMS
carvedilol	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
carvedilol	KEGG_CALCIUM_SIGNALING_PATHWAY
carvedilol	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
carvedilol	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
carvedilol	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
carvedilol	KEGG_CALCIUM_SIGNALING_PATHWAY
carvedilol	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
carvedilol	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
carvedilol	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
carvedilol	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
carvedilol	KEGG_GAP_JUNCTION
carvedilol	KEGG_CALCIUM_SIGNALING_PATHWAY
carvedilol	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
carvedilol	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
pioglitazone	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
pioglitazone	KEGG_ARGININE_AND_PROLINE_METABOLISM
pioglitazone	KEGG_HISTIDINE_METABOLISM
pioglitazone	KEGG_TYROSINE_METABOLISM
pioglitazone	KEGG_PHENYLALANINE_METABOLISM
pioglitazone	KEGG_TRYPTOPHAN_METABOLISM
pioglitazone	KEGG_DRUG_METABOLISM_CYTOCHROME_P450
amiodarone	KEGG_CARDIAC_MUSCLE_CONTRACTION
amiodarone	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
amiodarone	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
amiodarone	KEGG_DILATED_CARDIOMYOPATHY
amiodarone	KEGG_MAPK_SIGNALING_PATHWAY
amiodarone	KEGG_CALCIUM_SIGNALING_PATHWAY
amiodarone	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
amiodarone	KEGG_LONG_TERM_POTENTIATION
amiodarone	KEGG_GNRH_SIGNALING_PATHWAY
amiodarone	KEGG_TYPE_II_DIABETES_MELLITUS
amiodarone	KEGG_ALZHEIMERS_DISEASE
amiodarone	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
amiodarone	KEGG_MAPK_SIGNALING_PATHWAY
amiodarone	KEGG_CALCIUM_SIGNALING_PATHWAY
atovaquone	KEGG_PYRIMIDINE_METABOLISM
atovaquone	KEGG_CARDIAC_MUSCLE_CONTRACTION
atovaquone	KEGG_OXIDATIVE_PHOSPHORYLATION
atovaquone	KEGG_ALZHEIMERS_DISEASE
atovaquone	KEGG_PARKINSONS_DISEASE
atovaquone	KEGG_HUNTINGTONS_DISEASE
nifedipine	KEGG_MAPK_SIGNALING_PATHWAY
nifedipine	KEGG_CALCIUM_SIGNALING_PATHWAY
nifedipine	KEGG_TYPE_II_DIABETES_MELLITUS
chlorpheniramine	KEGG_PARKINSONS_DISEASE
miconazole	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
miconazole	KEGG_CARDIAC_MUSCLE_CONTRACTION
miconazole	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
miconazole	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
miconazole	KEGG_DILATED_CARDIOMYOPATHY
miconazole	KEGG_MAPK_SIGNALING_PATHWAY
miconazole	KEGG_CALCIUM_SIGNALING_PATHWAY
miconazole	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
miconazole	KEGG_LONG_TERM_POTENTIATION
miconazole	KEGG_GNRH_SIGNALING_PATHWAY
miconazole	KEGG_TYPE_II_DIABETES_MELLITUS
miconazole	KEGG_ALZHEIMERS_DISEASE
sibutramine	KEGG_PARKINSONS_DISEASE
rosuvastatin	KEGG_CELL_ADHESION_MOLECULES_CAMS
rosuvastatin	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY
rosuvastatin	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION
rosuvastatin	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
rosuvastatin	KEGG_VIRAL_MYOCARDITIS
iloprost	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
diphenhydramine	KEGG_CALCIUM_SIGNALING_PATHWAY
diphenhydramine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
diphenhydramine	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
promethazine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
promethazine	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
promethazine	KEGG_CALCIUM_SIGNALING_PATHWAY
promethazine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
promethazine	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
promethazine	KEGG_CALCIUM_SIGNALING_PATHWAY
promethazine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
promethazine	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
promethazine	KEGG_CALCIUM_SIGNALING_PATHWAY
promethazine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
promethazine	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
promethazine	KEGG_CALCIUM_SIGNALING_PATHWAY
promethazine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
promethazine	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
promethazine	KEGG_CALCIUM_SIGNALING_PATHWAY
promethazine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
promethazine	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
clonazepam	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
ibuprofen	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
ibuprofen	KEGG_PPAR_SIGNALING_PATHWAY
ibuprofen	KEGG_ARACHIDONIC_ACID_METABOLISM
ibuprofen	KEGG_VEGF_SIGNALING_PATHWAY
ibuprofen	KEGG_LEISHMANIA_INFECTION
ibuprofen	KEGG_PATHWAYS_IN_CANCER
ibuprofen	KEGG_SMALL_CELL_LUNG_CANCER
ibuprofen	KEGG_ARACHIDONIC_ACID_METABOLISM
memantine	KEGG_CALCIUM_SIGNALING_PATHWAY
memantine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
memantine	KEGG_LONG_TERM_POTENTIATION
memantine	KEGG_ALZHEIMERS_DISEASE
memantine	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS
memantine	KEGG_HUNTINGTONS_DISEASE
memantine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
memantine	KEGG_CALCIUM_SIGNALING_PATHWAY
memantine	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
thalidomide	KEGG_ARACHIDONIC_ACID_METABOLISM
thalidomide	KEGG_VEGF_SIGNALING_PATHWAY
thalidomide	KEGG_LEISHMANIA_INFECTION
thalidomide	KEGG_PATHWAYS_IN_CANCER
thalidomide	KEGG_SMALL_CELL_LUNG_CANCER
probenecid	KEGG_TASTE_TRANSDUCTION
ketoconazole	KEGG_OOCYTE_MEIOSIS
ketoconazole	KEGG_PATHWAYS_IN_CANCER
ketoconazole	KEGG_PROSTATE_CANCER
ketoconazole	KEGG_STEROID_HORMONE_BIOSYNTHESIS
ketoconazole	KEGG_STEROID_HORMONE_BIOSYNTHESIS
felodipine	KEGG_CARDIAC_MUSCLE_CONTRACTION
felodipine	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
felodipine	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
felodipine	KEGG_DILATED_CARDIOMYOPATHY
felodipine	KEGG_MAPK_SIGNALING_PATHWAY
felodipine	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION
felodipine	KEGG_CARDIAC_MUSCLE_CONTRACTION
felodipine	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
felodipine	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
felodipine	KEGG_DILATED_CARDIOMYOPATHY
felodipine	KEGG_MAPK_SIGNALING_PATHWAY
felodipine	KEGG_CALCIUM_SIGNALING_PATHWAY
felodipine	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
felodipine	KEGG_GNRH_SIGNALING_PATHWAY
felodipine	KEGG_TYPE_II_DIABETES_MELLITUS
felodipine	KEGG_ALZHEIMERS_DISEASE
felodipine	KEGG_MAPK_SIGNALING_PATHWAY
felodipine	KEGG_CALCIUM_SIGNALING_PATHWAY
felodipine	KEGG_CARDIAC_MUSCLE_CONTRACTION
felodipine	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
felodipine	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
felodipine	KEGG_DILATED_CARDIOMYOPATHY
felodipine	KEGG_MAPK_SIGNALING_PATHWAY
felodipine	KEGG_CALCIUM_SIGNALING_PATHWAY
felodipine	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
felodipine	KEGG_LONG_TERM_POTENTIATION
felodipine	KEGG_GNRH_SIGNALING_PATHWAY
felodipine	KEGG_TYPE_II_DIABETES_MELLITUS
felodipine	KEGG_ALZHEIMERS_DISEASE
felodipine	KEGG_CARDIAC_MUSCLE_CONTRACTION
felodipine	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
felodipine	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
felodipine	KEGG_DILATED_CARDIOMYOPATHY
felodipine	KEGG_MAPK_SIGNALING_PATHWAY
felodipine	KEGG_CALCIUM_SIGNALING_PATHWAY
felodipine	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
felodipine	KEGG_GNRH_SIGNALING_PATHWAY
felodipine	KEGG_ALZHEIMERS_DISEASE
felodipine	KEGG_CARDIAC_MUSCLE_CONTRACTION
felodipine	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
felodipine	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
felodipine	KEGG_DILATED_CARDIOMYOPATHY
felodipine	KEGG_MAPK_SIGNALING_PATHWAY
felodipine	KEGG_CARDIAC_MUSCLE_CONTRACTION
felodipine	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
felodipine	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
felodipine	KEGG_DILATED_CARDIOMYOPATHY
felodipine	KEGG_MAPK_SIGNALING_PATHWAY
minocycline	KEGG_MAPK_SIGNALING_PATHWAY
minocycline	KEGG_ERBB_SIGNALING_PATHWAY
minocycline	KEGG_CHEMOKINE_SIGNALING_PATHWAY
minocycline	KEGG_OOCYTE_MEIOSIS
minocycline	KEGG_MTOR_SIGNALING_PATHWAY
minocycline	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
minocycline	KEGG_DORSO_VENTRAL_AXIS_FORMATION
minocycline	KEGG_TGF_BETA_SIGNALING_PATHWAY
minocycline	KEGG_AXON_GUIDANCE
minocycline	KEGG_VEGF_SIGNALING_PATHWAY
minocycline	KEGG_FOCAL_ADHESION
minocycline	KEGG_ADHERENS_JUNCTION
minocycline	KEGG_GAP_JUNCTION
minocycline	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY
minocycline	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY
minocycline	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY
minocycline	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY
minocycline	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY
minocycline	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY
minocycline	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS
