drugbank_id	atc
epinastine	R06AX24
epinephrine	A01AD01
eplerenone	C03DA04
eprosartan	C09CA02
erlotinib	L01XE03
ertapenem	J01DH03
erythromycin	D10AF02
estazolam	N05CD04
estradiol	G03CA03
estramustine	L01XX11
ethambutol	J04AK02
ethosuximide	N03AD01
etodolac	M01AB08
etoposide	L01CB01
etoricoxib	M01AH05
everolimus	L01XE10
exemestane	L02BG06
ezetimibe	C10AX09
famotidine	A02BA03
felbamate	N03AX10
felodipine	C08CA02
fenofibrate	C10AB05
fentanyl	N01AH01
fexofenadine	R06AX26
finasteride	D11AX10
flavoxate	G04BD02
flecainide	C01BC04
flucloxacillin	J01CF05
fluconazole	D01AC15
fludarabine	L01BB05
fludrocortisone	H02AA02
flumazenil	V03AB25
flunisolide	R01AD04
flunitrazepam	N05CD03
fluocinonide	C05AA11
fluorescein	S01JA01
fluorometholone	C05AA06
fluoxetine	N06AB03
fluphenazine	N05AB02
flurazepam	N05CD01
flurbiprofen	M01AE09
flutamide	L02BB01
fluticasone	R01AD12
fluvastatin	C10AA04
fluvoxamine	N06AB08
formoterol	R03AC13
fosamprenavir	J05AE07
foscarnet	J05AD01
fosfomycin	J01XX01
fosinopril	C09AA09
fosphenytoin	N03AB05
frovatriptan	N02CC07
furosemide	C03CA01
gabapentin	N03AX12
galantamine	N06DA04
ganciclovir	J05AB06
gatifloxacin	J01MA16
gefitinib	L01XE02
gemcitabine	L01BC05
gemfibrozil	C10AB04
gemifloxacin	J01MA15
gentamicin	D06AX07
gliclazide	A10BB09
glimepiride	A10BB12
glipizide	A10BB07
goserelin	L02AE03
granisetron	A04AA02
guanfacine	C02AC02
haloperidol	N05AD01
hydralazine	C02DB02
hydrochlorothiazide	C03AA03
hydrocodone	R05DA03
hydromorphone	N02AA03
hydroxocobalamin	B03BA03
hydroxychloroquine	P01BA02
hydroxyurea	L01XX05
hydroxyzine	N05BB01
ibandronate	M05BA06
ibuprofen	C01EB16
idarubicin	L01DB06
ifosfamide	L01AA06
iloprost	B01AC11
imatinib	L01XE01
imipramine	N06AA02
imiquimod	D06BB10
indapamide	C03BA11
indinavir	J05AE02
indomethacin	C01EB03
irbesartan	C09CA04
irinotecan	L01XX19
isoflurane	N01AB06
isoniazid	J04AC01
isosorbide	C01DA08
isradipine	C08CA03
itraconazole	J02AC02
ivermectin	P02CF01
ixabepilone	L01DC04
kanamycin	A07AA08
ketamine	N01AX03
ketoconazole	D01AC08
ketoprofen	M01AE03
ketorolac	M01AB15
ketotifen	R06AX17
labetalol	C07AG01
lacosamide	N03AX18
lactulose	A06AD11
lamivudine	J05AF05
lamotrigine	N03AX09
lanreotide	H01CB03
lansoprazole	A02BC03
lapatinib	L01XE07
latanoprost	S01EE01
leflunomide	L04AA13
lenalidomide	L04AX04
letrozole	L02BG04
levetiracetam	N03AX14
levobunolol	S01ED03
levocabastine	R01AC02
levonorgestrel	G03AC03
lidocaine	C01BB01
linezolid	J01XX08
lisinopril	C09AA03
loperamide	A07DA03
loratadine	R06AX13
lorazepam	N05BA06
lormetazepam	N05CD06
losartan	C09CA01
lovastatin	C10AA02
loxapine	N05AH01
lubiprostone	A06AX03
maprotiline	N06AA21
mebendazole	P02CA01
mebeverine	A03AA04
mefloquine	P01BC02
melatonin	N05CH01
meloxicam	M01AC06
memantine	N06DX01
meperidine	N02AB02
meprobamate	N05BC01
meropenem	J01DH02
metformin	A10BA02
methadone	N07BC02
methimazole	H03BB02
methocarbamol	M03BA03
methotrexate	L01BA01
methyldopa	C02AB01
methylergometrine	G02AB01
methylphenidate	N06BA04
methylprednisolone	D07AA01
methyltestosterone	G03BA02
metoclopramide	A03FA01
metolazone	C03BA08
metoprolol	C07AB02
metronidazole	A01AB17
mexiletine	C01BB02
mianserin	N06AX03
miconazole	A01AB09
midazolam	N05CD08
midodrine	C01CA17
mifepristone	G03XB01
miglitol	A10BF02
milnacipran	N06AX17
milrinone	C01CE02
minocycline	A01AB23
minoxidil	C02DC01
mirtazapine	N06AX11
misoprostol	A02BB01
mitotane	L01XX23
mitoxantrone	L01DB07
moclobemide	N06AG02
modafinil	N06BA07
montelukast	R03DC03
morphine	N02AA01
moxifloxacin	J01MA14
moxonidine	C02AC05
mupirocin	D06AX09
nabumetone	M01AX01
nadolol	C07AA12
nalbuphine	N02AF02
naloxone	V03AB15
naltrexone	N07BB04
naproxen	G02CC02
naratriptan	N02CC02
nateglinide	A10BX03
nebivolol	C07AB12
nefazodone	N06AX06
nelarabine	L01BB07
nelfinavir	J05AE04
neostigmine	N07AA01
nepafenac	S01BC10
nevirapine	J05AG01
nicardipine	C08CA04
nicorandil	C01DX16
nicotine	N07BA01
nifedipine	C08CA05
nimodipine	C08CA06
nisoldipine	C08CA07
nitrazepam	N05CD02
nitrofurantoin	J01XE01
nitroglycerin	C01DA02
nizatidine	A02BA04
norepinephrine	C01CA03
norethisterone	G03AC01
norfloxacin	J01MA06
nortriptyline	N06AA10
octreotide	H01CB02
ofloxacin	J01MA01
olanzapine	N05AH03
olmesartan	C09CA08
olopatadine	R01AC08
olsalazine	A07EC03
omeprazole	A02BC01
ondansetron	A04AA01
orlistat	A08AB01
orphenadrine	M03BC01
oseltamivir	J05AH02
oxacillin	J01CF04
oxandrolone	A14AA08
oxaprozin	M01AE12
oxazepam	N05BA04
oxcarbazepine	N03AF02
oxybutynin	G04BD04
oxycodone	N02AA05
oxytetracycline	D06AA03
paclitaxel	L01CD01
palonosetron	A04AA05
pancuronium	M03AC01
pantoprazole	A02BC02
paricalcitol	H05BX02
paroxetine	N06AB05
pemetrexed	L01BA04
pentazocine	N02AD01
pentobarbital	N05CA01
pentoxifylline	C04AD03
pergolide	N04BC02
perindopril	C09AA04
perphenazine	N05AB03
phenelzine	N06AF03
phenobarbital	N03AA02
phentermine	A08AA01
phenylephrine	C01CA06
phenytoin	N03AB02
pilocarpine	N07AX01
pimecrolimus	D11AH02
pimozide	N05AG02
pindolol	C07AA03
pioglitazone	A10BG03
piperacillin	J01CA12
pirbuterol	R03AC08
piroxicam	M01AC01
pitavastatin	C10AA08
posaconazole	J02AC04
pramipexole	N04BC05
pravastatin	C10AA03
prazosin	C02CA01
prednisolone	A07EA01
prednisone	A07EA03
pregabalin	N03AX16
primidone	N03AA03
probenecid	M04AB01
procarbazine	L01XB01
prochlorperazine	N05AB04
progesterone	G03DA04
promethazine	D04AA10
propafenone	C01BC03
propranolol	C07AA05
propylthiouracil	H03BA02
pyrazinamide	J04AK01
pyridostigmine	N07AA02
pyridoxine	A11HA02
pyrimethamine	P01BD01
quazepam	N05CD10
quetiapine	N05AH04
quinapril	C09AA06
quinidine	C01BA01
rabeprazole	A02BC04
raloxifene	G03XC01
ramelteon	N05CH02
ramipril	C09AA05
ranitidine	A02BA02
ranolazine	C01EB18
reboxetine	N06AX18
repaglinide	A10BX02
retapamulin	D06AX13
ribavirin	J05AB04
rifabutin	J04AB04
rifampicin	J04AB02
rifaximin	A07AA11
riluzole	N07XX02
risperidone	N05AX08
ritonavir	J05AE03
rivaroxaban	B01AX06
rivastigmine	N06DA03
rizatriptan	N02CC04
rocuronium	M03AC09
rofecoxib	M01AH02
ropinirole	N04BC04
ropivacaine	N01BB09
rosiglitazone	A10BG02
rosuvastatin	C10AA07
roxithromycin	J01FA06
salbutamol	R03AC02
salmeterol	R03AC12
saquinavir	J05AE01
saxagliptin	A10BH03
scopolamine	A04AD01
sertraline	N06AB06
sevoflurane	N01AB08
sibutramine	A08AA10
sildenafil	G04BE03
simvastatin	C10AA01
sitagliptin	A10BH01
sorafenib	L01XE05
sotalol	C07AA07
spironolactone	C03DA01
stavudine	J05AF04
streptomycin	A07AA04
succinylcholine	M03AB01
sufentanil	N01AH03
sulfamethoxazole	J01EC01
sulfasalazine	A07EC01
sulindac	M01AB02
sumatriptan	N02CC01
tacrolimus	D11AH01
tadalafil	G04BE08
tamoxifen	L02BA01
tamsulosin	G04CA02
tazarotene	D05AX05
tegaserod	A03AE02
telithromycin	J01FA15
telmisartan	C09CA07
temazepam	N05CD07
temozolomide	L01AX03
temsirolimus	L01XE09
tenofovir	J05AF07
tenoxicam	M01AC02
terazosin	G04CA03
terbinafine	D01AE15
terbutaline	R03AC03
terconazole	G01AG02
testosterone	G03BA03
tetrabenazine	N07XX06
tetracycline	A01AB13
thalidomide	L04AX02
theophylline	R03DA04
thiamine	A11DA01
thiotepa	L01AC01
thiothixene	N05AF04
thymidine	J05AF11
tiagabine	N03AG06
tibolone	G03CX01
ticlopidine	B01AC05
tigecycline	J01AA12
timolol	C07AA06
tiotropium	R03BB04
tipranavir	J05AE09
tirofiban	B01AC17
tizanidine	M03BX02
tobramycin	J01GB01
tolbutamide	A10BB03
tolcapone	N04BX01
tolterodine	G04BD07
topiramate	N03AX11
topotecan	L01XX17
torasemide	C03CA04
toremifene	L02BA02
tramadol	N02AX02
trandolapril	C09AA10
tranylcypromine	N06AF04
travoprost	S01EE04
trazodone	A06AC07
treprostinil	B01AC21
triamcinolone	A01AC01
triamterene	C03DB02
triazolam	N05CD05
trifluoperazine	N05AB06
trihexyphenidyl	N04AA01
trimethoprim	J01EA01
trimipramine	N06AA06
troglitazone	A10BG01
tropicamide	S01FA06
tropisetron	A04AA03
valdecoxib	M01AH03
valsartan	C09CA03
vardenafil	G04BE09
varenicline	N07BA03
vasopressin	H01BA01
vecuronium	M03AC03
venlafaxine	N06AX16
verapamil	C08DA01
vigabatrin	N03AG04
vildagliptin	A10BH02
vinblastine	L01CA01
vincristine	L01CA02
vinflunine	L01CA05
vinorelbine	L01CA04
voriconazole	J02AC03
warfarin	B01AA03
zafirlukast	R03DC01
zalcitabine	J05AF03
zaleplon	N05CF03
zanamivir	J05AH01
zidovudine	J05AF01
ziprasidone	N05AE04
zolmitriptan	N02CC03
zolpidem	N05CF02
zonisamide	N03AX15
zopiclone	N05CF01
zuclopenthixol	N05AF02
